Legislative proposals adopted by the Commission 
Legislative proposals adopted by the Commission 
(2006/C 176/12) 
Document | Part | Date | Title | 
COM(2006) 198 | | 8.5.2006 | Proposal for a Council Decision amending Decision 2005/231/EC authorising Sweden to apply a reduced rate of taxation to electricity consumed by certain households and service sector companies in accordance with Article 19 of Directive 2003/96/EC | 
COM(2006) 202 | | 17.5.2006 | Proposal for a Decision of the European Parliament and of the Council establishing a Community programme to improve the operation of taxation systems in the internal market (Fiscalis 2013) | 
COM(2006) 207 | | 12.5.2006 | Proposal for a Council Decision providing exceptional Community financial assistance to Kosovo | 
COM(2006) 213 | | 18.5.2006 | Modified proposal for a Council Regulation amending Regulation (EC, Euratom) No 1605/2002 on the Financial Regulation applicable to the general budget of the European Communities | 
COM(2006) 219 | | 19.5.2006 | Proposal for a Directive of the European Parliament and of the Council on the term of protection of copyright and certain related rights (Codified version) | 
COM(2006) 222 | | 19.5.2006 | Proposal for a Directive of the European Parliament and of the Council concerning misleading and comparative advertising (codified version) | 
COM(2006) 225 | | 16.5.2006 | Proposal for a Council Decision in accordance with Article 122(2) of the Treaty on the adoption by Slovenia of the single currency on 1 January 2007 | 
COM(2006) 226 | | 22.5.2006 | Proposal for a Directive of the European Parliament and of the Council on rental right and lending right and on certain rights related to copyright in the field of intellectual property (Codified version) | 
COM(2006) 227 | | 19.5.2006 | Proposal for a Council Regulation amending the Annex to Regulation (EC) No 2042/2000 imposing a definitive anti-dumping duty on imports of television camera systems originating in Japan | 
COM(2006) 242 | | 31.5.2006 | Proposal for a Council Regulation amending Annex IV to Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants and amending Directive 79/117/EEC | 
COM(2006) 250 | | 30.5.2006 | Proposal for a Council Decision on the conclusion, on behalf of the European Community, of the Rotterdam Convention on the Prior Informed Consent Procedure for certain hazardous chemicals and pesticides in international trade | 
COM(2006) 258 | | 1.6.2006 | Proposal for a Council Directive laying down minimum standards for the protection of calves (codified version) | 
COM(2006) 259 | | 1.6.2006 | Proposal for a Council Decision on a Community position within the EC-Turkey Customs Co-operation Committee on the adoption of a Decision laying down detailed rules for the application of Decision No 1/95 of the EC-Turkey Association Council | 
COM(2006) 261 | | 2.6.2006 | Proposal for a Council Regulation amending Regulation (EC) No 1321/2004 on the establishment of structures for the management of the European satellite radio-navigation programmes | 
COM(2006) 262 | | 2.6.2006 | Amended Proposal for a Directive of the European Parliament and of the Council on stands for two-wheel motor vehicles (Codified version) | 
COM(2006) 263 | | 2.6.2006 | Proposal for a Council Decision authorising Greece and Portugal to introduce special measures derogating from Article 21(1) of Directive 77/388/EEC on the harmonisation of the laws of the Member States relating to turnover taxes | 
COM(2006) 265 | | 2.6.2006 | Amended Proposal for a Directive of the European Parliament and of the Council on passenger hand-holds on two-wheel motor vehicles (Codified Version) | 
COM(2006) 266 | 1 | 2.6.2006 | Proposal for a Council Decision on the signature and provisional application of the Agreement between the European Community and the Republic of Paraguay on certain aspects of air services | 
COM(2006) 266 | 2 | 2.6.2006 | Proposal for a Council Decision on the conclusion of the Agreement between the European Community and the Republic of Paraguay on certain aspects of air services | 
COM(2006) 267 | | 30.5.2006 | Proposal for a Council Decision amending Decision 2003/631/EC adopting measures concerning Liberia under Article 96 of the ACP EC Partnership Agreement in a case of special urgency | 
COM(2006) 271 | | 6.6.2006 | Proposal for a Council Regulation introducing, on the occasion of the accession of Bulgaria and Romania, special temporary measures for recruitment of officials of the European Communities | 
COM(2006) 273 | | 6.6.2006 | Proposal for a Council Decision amending Decision 90/424/EEC on expenditure in the veterinary field | 
COM(2006) 274 | 1 | 7.6.2006 | Proposal for a Council Decision on the signature of the Agreement between the European Community and the government of Canada establishing a framework for co-operation in the fields of higher education, training and youth | 
COM(2006) 274 | 2 | 7.6.2006 | Proposal for a Council Decision on the conclusion of the Agreement between the European Community and the government of Canada establishing a framework for co-operation in the fields of higher education, training and youth | 
These texts are available on EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
