Euro exchange rates 
Euro exchange rates [1] 
28 March 2006 
(2006/C 76/02) 
| Currency | Exchange rate | 
USD | US dollar | 1,2084 | 
JPY | Japanese yen | 141,09 | 
DKK | Danish krone | 7,4616 | 
GBP | Pound sterling | 0,69070 | 
SEK | Swedish krona | 9,3677 | 
CHF | Swiss franc | 1,5715 | 
ISK | Iceland kr贸na | 86,56 | 
NOK | Norwegian krone | 7,9385 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5759 | 
CZK | Czech koruna | 28,733 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 266,36 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6961 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,9390 | 
RON | Romanian leu | 3,5251 | 
SIT | Slovenian tolar | 239,59 | 
SKK | Slovak koruna | 37,740 | 
TRY | Turkish lira | 1,6400 | 
AUD | Australian dollar | 1,6992 | 
CAD | Canadian dollar | 1,4080 | 
HKD | Hong Kong dollar | 9,3768 | 
NZD | New Zealand dollar | 1,9790 | 
SGD | Singapore dollar | 1,9542 | 
KRW | South Korean won | 1180,30 | 
ZAR | South African rand | 7,5890 | 
CNY | Chinese yuan renminbi | 9,6928 | 
HRK | Croatian kuna | 7,3250 | 
IDR | Indonesian rupiah | 10939,65 | 
MYR | Malaysian ringgit | 4,465 | 
PHP | Philippine peso | 61,810 | 
RUB | Russian rouble | 33,5070 | 
THB | Thai baht | 46,952 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
