Euro exchange rates 
Euro exchange rates [1] 
7 April 2006 
(2006/C 85/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2179 | 
JPY | Japanese yen | 143,57 | 
DKK | Danish krone | 7,4633 | 
GBP | Pound sterling | 0,69645 | 
SEK | Swedish krona | 9,3415 | 
CHF | Swiss franc | 1,5757 | 
ISK | Iceland kr贸na | 88,45 | 
NOK | Norwegian krone | 7,8760 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5760 | 
CZK | Czech koruna | 28,510 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 267,07 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,9620 | 
RON | Romanian leu | 3,5090 | 
SIT | Slovenian tolar | 239,63 | 
SKK | Slovak koruna | 37,410 | 
TRY | Turkish lira | 1,6260 | 
AUD | Australian dollar | 1,6653 | 
CAD | Canadian dollar | 1,3975 | 
HKD | Hong Kong dollar | 9,4469 | 
NZD | New Zealand dollar | 1,9828 | 
SGD | Singapore dollar | 1,9550 | 
KRW | South Korean won | 1160,66 | 
ZAR | South African rand | 7,3966 | 
CNY | Chinese yuan renminbi | 9,7590 | 
HRK | Croatian kuna | 7,3290 | 
IDR | Indonesian rupiah | 10948,92 | 
MYR | Malaysian ringgit | 4,467 | 
PHP | Philippine peso | 62,253 | 
RUB | Russian rouble | 33,6540 | 
THB | Thai baht | 46,436 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
