Euro exchange rates 
Euro exchange rates [1] 
19 June 2006 
(2006/C 144/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2591 | 
JPY | Japanese yen | 145,43 | 
DKK | Danish krone | 7,4547 | 
GBP | Pound sterling | 0,68175 | 
SEK | Swedish krona | 9,2809 | 
CHF | Swiss franc | 1,5573 | 
ISK | Iceland kr贸na | 94,43 | 
NOK | Norwegian krone | 7,8555 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5750 | 
CZK | Czech koruna | 28,515 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 275,47 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6961 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 4,0640 | 
RON | Romanian leu | 3,5248 | 
SIT | Slovenian tolar | 239,64 | 
SKK | Slovak koruna | 38,130 | 
TRY | Turkish lira | 2,0215 | 
AUD | Australian dollar | 1,7060 | 
CAD | Canadian dollar | 1,4130 | 
HKD | Hong Kong dollar | 9,7783 | 
NZD | New Zealand dollar | 2,0426 | 
SGD | Singapore dollar | 2,0114 | 
KRW | South Korean won | 1210,31 | 
ZAR | South African rand | 8,7196 | 
CNY | Chinese yuan renminbi | 10,0751 | 
HRK | Croatian kuna | 7,2600 | 
IDR | Indonesian rupiah | 11810,36 | 
MYR | Malaysian ringgit | 4,619 | 
PHP | Philippine peso | 67,085 | 
RUB | Russian rouble | 34,0450 | 
THB | Thai baht | 48,435 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
