Reglamento (CE) n%deg%%nbsp%1359/2005 de la Comisi%oacute%n, de 18 de agosto de 2005, que modifica el Reglamento (CE) n%deg%%nbsp%2390/1999 por el que se establecen la forma y el contenido de la informaci%oacute%n contable que deber%aacute% presentarse a la Comisi%oacute%n con vistas a la liquidaci%oacute%n de cuentas de la secci%oacute%n de Garant%iacute%a del FEOGA, as%iacute% como con fines de seguimiento y elaboraci%oacute%n de previsiones 
Reglamento (CE) no 1359/2005 de la Comisión 
de 18 de agosto de 2005 
que modifica el Reglamento (CE) no 2390/1999 por el que se establecen la forma y el contenido de la información contable que deberá presentarse a la Comisión con vistas a la liquidación de cuentas de la sección de Garantía del FEOGA, así como con fines de seguimiento y elaboración de previsiones 
LA COMISIÓN DE LAS COMUNIDADES EUROPEAS, 
Visto el Tratado constitutivo de la Comunidad Europea, 
Visto el Reglamento (CE) no 1258/1999 del Consejo, de 17 de mayo de 1999, sobre la financiación de la política agrícola común [1], y, en particular, su artículo 4, apartado 8, 
Considerando lo siguiente: 
(1) El artículo 2, apartado 3, del Reglamento (CE) no 1663/95 de la Comisión, de 7 de julio de 1995, por el que se establecen las disposiciones de aplicación del Reglamento (CEE) no 729/70 del Consejo en lo que concierne al procedimiento de liquidación de cuentas de la Sección de Garantía del FEOGA [2], dispone que la forma y el contenido de la información contable a que se refiere el artículo 4, apartado 1, letra c), de dicho Reglamento se establezcan de conformidad con el procedimiento previsto en el artículo 13 del Reglamento (CE) no 1258/1999. 
(2) La forma y el contenido de la información contable que debe presentarse a la Comisión con vistas a la liquidación de cuentas de la sección de Garantía del FEOGA, así como con fines de seguimiento y elaboración de previsiones, están regulados actualmente por el Reglamento (CE) no 2390/1999 de la Comisión [3]. 
(3) Los anexos I y III del Reglamento (CE) no 2390/1999 necesitan actualizarse debido a los cambios registrados en la nomenclatura presupuestaria y en los datos exigidos. Además, con objeto de que la transferencia de información entre los Estados miembros y la Comisión siga siendo óptima y se mantenga actualizada, es necesario adaptar las especificaciones técnicas del anexo II de dicho Reglamento. 
(4) El Reglamento (CE) no 2390/1999 debe modificarse en consecuencia. 
(5) Las medidas previstas en el presente Reglamento se ajustan al dictamen del Comité del Fondo. 
HA ADOPTADO EL PRESENTE REGLAMENTO: 
Artículo 1 
Los anexos I, II y III del Reglamento (CE) no 2390/1999 se sustituyen por los anexos I, II y III del presente Reglamento. 
Artículo 2 
El presente Reglamento entrará en vigor el séptimo día siguiente al de su publicación en el Diario Oficial de la Unión Europea. 
Será aplicable a partir del 16 de octubre de 2005. 
El presente Reglamento será obligatorio en todos sus elementos y directamente aplicable en cada Estado miembro. 
Hecho en Bruselas, el 18 de agosto de 2005. 
Por la Comisión 
Mariann Fischer Boel 
Miembro de la Comisión 
[1] DO L 160 de 26.6.1999, p. 103. 
[2] DO L 158 de 8.7.1995, p. 6. Reglamento modificado en último lugar por el Reglamento (CE) no 465/2005 (DO L 77 de 23.3.2005, p. 6). 
[3] DO L 295 de 16.11.1999, p. 1. Reglamento modificado en último lugar por el Reglamento (CE) no 1769/2004 (DO L 316 de 15.10.2004, p. 1). 
-------------------------------------------------- 
ANEXO I 
CUADRO DE LAS X — Ejercicio financiero de 2006 
2005 | A↓ | 2006 | F100 | F101 | F102 | F103 | F103B | F105 | F105A | F105B | F106 | F107 | F108 | F109 | F110 | F200 | F201 | F202A | F202B | F202C | F207 | F211 | F212 | F213 | F214 | F217 | F218 | F220 | F221 | F222B | F222C | F300 | F300B | F301 | F304 | F305 | F306 | F307 | F402 | F500 | F502 | F503 | F507 | F508A | F508B | F509A | F510 | F510A | F511 | F512 | F513 | F515 | F517 | F518 | F519 | F519B | F519C | F520 | F521 | F522 | F523 | F530 | F531 | F532 | F533 | F600 | F601 | F602 | F602B | F603 | F604 | F604B | F800 | F800B | F801 | F802 | F802B | F804 | F805 | F808 | F809 | F812 | F814 | F816 | F816B | 
05020101 | 1000 | 05020101 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020101 | 1001 | 05020101 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020101 | 1002 | 05020101 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020101 | 1003 | 05020101 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020102 | 1011 | 05020102 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020102 | 1012 | 05020102 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020102 | 1013 | 05020102 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020102 | 1014 | 05020102 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020102 | 1019 | 05020102 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020103 | 1021 | 05020103 | X | X | | X | | | X | | X | X | X | X | X | X | X | X | X | X | X | | | | | | | | | | | X | | | X | | | X | | | X | | | | | | X | | | | X | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020103 | 1022 | 05020103 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | | | X | X | X | X | X | X | X | X | | | | | X | | X | X | X | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020104 | 3000 | 05020300 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020104 | 3010 | 05020300 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020105 | 1029 | 05020199 | X | X | | X | | | X | | X | X | X | X | X | X | X | X | X | X | X | | | | | | | | | | | X | | | X | | | X | | X | X | | | | | | X | | X | X | X | | | | | | | | | | | | | | | X | | | | | | | | | | | | | | | | | | | | 
05020199 | 1090 | 05020199 | X | X | X | | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | X | | | | | | | X | X | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020201 | 1850 | 05020201 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | | | | X | X | | | X | | | | | | | | | X | X | X | | | | | | | | | | | | | | | | | | | | X | X | X | X | X | X | X | X | X | X | X | X | X | X | X | 
05020202 | 1851 | 05020202 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020202 | 1852 | 05020202 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020202 | 1853 | 05020202 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020202 | 1854 | 05020202 | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020203 | 1855 | 05020299 | X | X | | X | | | | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | | | X | X | X | X | X | X | X | X | | | | | X | | X | X | X | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020204 | 1858 | 05030219 | X | X | | X | | X | X | A | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020299 | 1890 | 05020299 | X | X | X | | | | | | X | X | X | X | | X | X | X | X | X | | | | | | | | | | | | X | X | | | | | | | X | X | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | 
05020306 | 0000 | 05030204 | X | X | | X | | X | X | A | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020306 | 1045 | 05030204 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020306 | 1055 | 05030204 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020306 | 1056 | 05030204 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020307 | 0000 | 05030203 | X | X | | X | | X | X | A | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020307 | 1046 | 05030203 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020307 | 1057 | 05030203 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 0000 | 05030201 | X | X | | X | | X | X | A | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1040 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1041 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1042 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1043 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1044 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1047 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1049 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1050 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
05020310 | 1051 | 05030201 | X | X | | X | | X | X | | X | X | X | X | | X | X | X | X | X | X | | | | | | | | | | | X | X | | X | | | | | | | | X | X | X | X | | | X | X | | | | | | | | | | | | | | | | X | X | X | | X | | | | | | | | | | | | | | | | 
