Propuestas legislativas adoptadas por la Comisi%oacute%n 
Propuestas legislativas adoptadas por la Comisión 
(2005/C 52/11) 
Documento | Parte | Fecha | Título | 
COM(2004) 492 | | 14.7.2004 | Propuesta de REGLAMENTO DEL CONSEJO por el que se establecen las disposiciones generales relativas al Fondo Europeo de Desarrollo Regional, al Fondo Social Europeo y al Fondo de Cohesión | 
COM(2004) 551 | | 19.8.2004 | Propuesta de DECISIÓN DEL PARLAMENTO EUROPEO Y DEL CONSEJO que modifica la Decisión 2001/51/CE del Consejo, por la que se establece un programa de acción comunitaria sobre la estrategia comunitaria en materia de igualdad entre mujeres y hombres, y la Decisión no 848/2004/CE del Parlamento Europeo y del Consejo, por la que se establece un programa de acción comunitario para la promoción de las organizaciones que trabajan a escala europea en el ámbito de la igualdad entre hombres y mujeres | 
COM(2004) 594 | 1 | 17.9.2004 | Propuesta de DECISIÓN DEL CONSEJO relativa a la firma del acuerdo entre la Comunidad Europea y el Reino de Dinamarca, por el que se extiende a Dinamarca lo dispuesto en el Reglamento (CE) no 343/2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de asilo presentada en uno de los Estados miembros por un nacional de un tercer país y en el Reglamento (CE) no 2725/2000 relativo a la creación del sistema "Eurodac" para la comparación de las impresiones dactilares para la aplicación efectiva del Convenio de Dublín | 
COM(2004) 594 | 2 | 17.9.2004 | Propuesta de DECISIÓN DEL CONSEJO relativa a la celebración del acuerdo entre la Comunidad Europea y el Reino de Dinamarca, por el que se extiende a Dinamarca lo dispuesto en el Reglamento (CE) no 343/2003 por el que se establecen los criterios y mecanismos de determinación del Estado miembro responsable del examen de una solicitud de asilo presentada en uno de los Estados miembros por un nacional de un tercer país y en el Reglamento (CE) no 2725/2000 relativo a la creación del sistema "Eurodac" para la comparación de las impresiones dactilares para la aplicación efectiva del Convenio de Dublín | 
COM(2004) 699 | | 20.10.2004 | Propuesta de REGLAMENTO DEL CONSEJO relativo a la aplicación de un sistema de preferencias arancelarias generalizadas | 
COM(2004) 710 | | 25.10.2004 | Propuesta de REGLAMENTO DEL CONSEJO que modifica el Reglamento (CE) no 1782/2003, por el que se establecen disposiciones comunes aplicables a los regímenes de ayuda directa en el marco de la política agrícola común y se instauran determinados regímenes de ayuda a los agricultores, y el Reglamento (CE) no 1788/2003, por el que se establece una tasa en el sector de la leche y de los productos lácteos | 
COM(2004) 716 | | 12.11.2004 | Propuesta de DIRECTIVA DEL CONSEJO la vigilancia y al control de los traslados de residuos radiactivos y combustible gastado | 
COM(2004) 725 | | 27.10.2004 | Propuesta de DIRECTIVA DEL PARLAMENTO EUROPEO Y DEL CONSEJO por la que se modifican las Directivas 78/660/CEE y 83/349/CEE relativas a las cuentas anuales de determinadas formas de sociedad y a las cuentas consolidadas | 
COM(2004) 781 | | 7.12.2004 | Propuesta de DECISIÓN DEL PARLAMENTO EUROPEO Y DEL CONSEJO por la que se modifica la Decisión 2000/819/CE del Consejo relativa al Programa plurianual en favor de la empresa y el espíritu empresarial, en particular para las pequeñas y medianas empresas (PYME) (2001-2005) | 
COM(2004) 787 | | 9.12.2004 | Propuesta de DECISIÓN DEL CONSEJO relativa a la posición que adoptarán las Comunidades Europeas y sus Estados miembros en el Consejo de Cooperación instituido por el Acuerdo de Colaboración y Cooperación por el que se establece una colaboración entre las Comunidades Europeas y sus Estados miembros, por una parte, y la República de Moldova, por otra, con relación a la adopción de una Recomendación sobre la ejecución del Plan de acción UE-Moldova | 
