Documentos COM distintos de las propuestas legislativas adoptadas por la Comisi%oacute%n 
Documentos COM distintos de las propuestas legislativas adoptadas por la Comisión 
(2005/C 125/04) 
Documento | Parte | Fecha | Título | 
COM(2004) 580 | | 6.9.2004 | Comunicación de la Comisión al Parlamento Europeo y al Consejo Responsabilidades respectivas de los Estados miembros y de la Comisión en la gestión compartida de los Fondos Estructurales y del Fondo de Cohesión Situación actual y perspectivas para el nuevo período de programación después de 2006 | 
COM(2004) 626 | | 29.9.2004 | Comunicación de la Comisión al Consejo y al Parlamento Europeo relativa a los instrumentos de ayuda exterior en el marco de las futuras Perspectivas Financieras 2007-2013 | 
COM(2004) 811 | | 11.1.2005 | Libro Verde el planteamiento de la ue sobre la gestión de la inmigración económica | 
COM(2005) 8 | | 27.1.2005 | Comunicación de la Comisión — Segundo Informe de aplicación de las Orientaciones Generales de Política Económica para 2003-2005 | 
COM(2005) 10 | | 25.1.2005 | Libro Blanco relativo al intercambio de información sobre condenas penales y al efecto de éstas en la Unión Europea | 
COM(2005) 14 | | 27.1.2005 | Comunicación de la Comisión al Consejo, al Parlamento Europeo y al Comité Económico y Social Europeo y al Comité de las Regiones: Proyecto de informe conjunto sobre protección social e inclusión social | 
COM(2005) 15 | | 26.1.2005 | Programa de trabajo de la Comisión para 2005: Comunicación del Presidente de común acuerdo con la Vicepresidenta, Sra. Wallström | 
COM(2005) 26 | | 10.2.2005 | Informe de la Comisión al Consejo, EL Parlamento Europeo, el Tribunal de Cuentas Europeo, el Comité Económico y Social Europeo y el Comité de las Regiones: Informe Tempus 2002 y 2003 | 
COM(2005) 50 | | 17.2.2005 | Informe de la Comisión al Parlamento Europeo y al Consejo sobre el funcionamiento de la organización común de mercados en el sector del plátano | 
COM(2005) 64 | | 1.3.2005 | Informe de la Comisión: Informe dE 2003 sobre PHARE y los instrumentos de preadhesión de Chipre, Malta y Turquía | 
COM(2005) 65 | | 1.3.2005 | Libro Verde: Sucesiones y testamentos | 
COM(2005) 76 | | 7.3.2005 | comunicación de la Comisión al Consejo y al Parlamento Europeo: Iniciativa Europea de Crecimiento Concepto de diseño de un instrumento de garantía de crédito de la UE para los proyectos de RTE-Transporte | 
COM(2005) 78 | | 11.3.2005 | Comunicación de la Comisión: Una política comunitaria de aviación civil hacia la República Popular China — Fortalecimiento de la cooperación y apertura de mercados | 
COM(2005) 79 | | 11.3.2005 | Comunicación de la Comisión — Desarrollo de la política exterior comunitaria en el sector de la aviación | 
COM(2005) 82 | | 14.3.2005 | Libro Verde sobre la legislación aplicable y la competencia en asuntos de divorcio | 
COM(2005) 118 | | 6.4.2005 | Comunicación de la Comisión: Construcción del Espacio Europeo de la Investigación al servicio del crecimiento | 
COM(2005) 127 | 1 | 6.4.2005 | Comunicación de la Comisión al Parlamento Europeo y al Consejo relativa a la ejecución y continuación del programa Pericles para la protección del euro contra la falsificación | 
COM(2005) 141 | 1 | 12.4.2005 | Directrices integradas para el crecimiento y el empleo (2005-2008) incluidas una Recomendación de la Comisión relativa a las directrices generales para las políticas económicas de los Estados miembros y de la Comunidad (en virtud del artículo 99 del Tratado CE) | 
COM(2005) 150 | | 21.4.2005 | Comunicación de la Comisión al Consejo: Instauración de un análisis de las políticas económicas de la CE, por el Comité de Análisis de la Economía y del Desarrollo (EDRC) de la OCDE, en paralelo al estudio sobre la zona euro | 
COM(2005) 178 | | 2.5.2005 | Informe de la Comisión al Parlamento Europeo y al Consejo — Informe general sobre la ayuda de preadhesión (PHARE — ISPA — SAPARD) EN 2003 | 
COM(2005) 476 | | 12.4.2005 | Comunicación de la Comisión relativa al grado de preparación de Serbia y Montenegro para negociar un Acuerdo de Estabilización y Asociación con la Unión Europea | 
Estos textos se encuentran disponibles en EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
