Lista denombramientos efectuados por el Consejo (meses de: octubre, noviembre y diciembre de 2005) (ámbito social) 
Lista denombramientos efectuados por el Consejo 
(meses de: octubre, noviembre y diciembre de 2005) (ámbito social) 
(2006/C 35/01) 
Comité | Fin del mandato | Publicación en el DO | Persona sustituida | Dimisión /Nombramiento | Miembro/Titular/Suplente | Categoría | País | Persona nombrada | Adscripción | Fecha de la decisión del Consejo | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D.a Mielikki TENHUNEN | Dimisión | Titular | Gobierno | Finlandia | D. Olli SORAINEN | Työministeriö | 11.10.2005 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D.a Mervi HUUSKONEN | Dimisión | Suplente | Trabajadores | Finlandia | D. Ralf SUND | STTK | 11.10.2005 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D.a Celien VANMOERKERKE | Dimisión | Titular | Trabajadores | Bélgica | D. M. Jean-François MACOURS | FGTB | 7.11.2005 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D.a Mirkka MYKKÄNEN | Dimisión | Titular | Gobierno | Finlandia | D.a Sinikka HYYPPÄ | Työministeriö | 8.12.2005 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D.a Katja LEPPÄNEN | Dimisión | Titular | Empresarios | Finlandia | D.a Anu SAJAVAARA | Elinkeinoelämän Keskusliitto | 8.12.2005 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.01.2005 | D. Thord PETTERSSON | Dimisión | Titular | Trabajadores | Suecia | D.a Monika ARVIDSSON | Landsorganisationen i Sverige | 8.12.2005 | 
Comité consultivo para la seguridad social de los trabajadores migrantes | 22.9.2006 | C 12 de 18.01.2005 | D.a Eivy HÄGGSTRÖM | Dimisión | Titular | Gobierno | Suecia | D.a Johanna DUNÉR | Näringsdepartementet | 8.12.2005 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D. Alexander HEIDER | Dimisión | Titular | Trabajadores | Austria | D.a Renate CZESKLEBA | Österreichischer Gewerkschaftsbund | 28.11.2005 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D.a Susanne MAURER | Dimisión | Suplente | Trabajadores | Austria | D.a Bernardette KENDLBACHER | Österreichischer Gewerkschaftsbund | 28.11.2005 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 de 31.12.2003, DO C 116 de 30.04.2004, C 122 de 30.04.2004 | D.a Renate CZESKLEBA | Dimisión | Suplente | Trabajadores | Austria | D.a Julia LISCHKA | Bundesarbeitskammer | 28.11.2005 | 
