Propuestas legislativas adoptadas por la Comisión 
Propuestas legislativas adoptadas por la Comisión 
(2006/C 104/10) 
Documento | Parte | Fecha | Título | 
COM(2006) 38 | | 6.2.2006 | Propuesta de Reglamento del Consejo por el que se modifican los anexos A y C del Reglamento (CE) no 1346/2000 por lo que se refiere a Francia | 
COM(2006) 42 | | 7.2.2006 | Propuesta de Reglamento del Consejo (Euratom) por el que se establecen las normas de participación de empresas, centros de investigación y universidades en las acciones del Séptimo Programa Marco de la Comunidad Europea de la Energía Atómica, y las normas de difusión de los resultados de la investigación (2007-2011) | 
COM(2006) 66 | | 20.2.2006 | Propuesta de Reglamento del Parlamento Europeo y del Consejo relativo a las estadísticas estructurales de las empresas | 
COM(2006) 80 | | 2.3.2006 | Propuesta de Decisión del Consejo relativa a la celebración, en nombre de la Comunidad Europea, del Protocolo sobre la protección de los suelos, del Protocolo sobre la energía y del Protocolo sobre el turismo, del Convenio de los Alpes | 
COM(2006) 82 | | 2.3.2006 | Propuesta de Decisión del Consejo sobre la celebración, en nombre de la Comunidad Europea, de la Convención de las Naciones Unidas contra la corrupción | 
COM(2006) 89 | | 28.2.2006 | Propuesta de Reglamento del Consejo sobre las normas de comercialización de los huevos | 
COM(2006) 90 | | 7.3.2006 | Propuesta de Reglamento del Consejo que modifica el Reglamento (CEE) no 1906/90 por el que se establecen normas de comercialización aplicables a las aves de corral | 
COM(2006) 91 | | 1.3.2006 | Propuesta de Reglamento del Parlamento Europeo y del Consejo por el que se crea el Fondo Europeo de Adaptación a la Globalización | 
COM(2006) 93 | | 2.3.2006 | Propuesta de Directiva del Parlamento Europeo y del Consejo por la que se modifica la Directiva 91/477/CEE del Consejo sobre el control de la adquisición y tenencia de armas | 
COM(2006) 95 | 1 | 3.3.2006 | Propuesta de Decisión del Consejo relativa a la firma y aplicación provisional del Acuerdo entre la Comunidad Europea y la República de Maldivas sobre determinados aspectos de los servicios aéreos | 
COM(2006) 95 | 2 | 3.3.2006 | Propuesta de Decisión del Consejo sobre la celebración del Acuerdo entre la Comunidad Europea y la República de Maldivas sobre determinados aspectos de los servicios aéreos | 
COM(2006) 96 | | 6.3.2006 | Propuesta de Reglamento del Consejo relativo a la celebración del Acuerdo de asociación en el sector pesquero entre la Comunidad Europea y la Unión de las Comoras | 
COM(2006) 97 | | 6.3.2006 | Propuesta de Reglamento del Consejo relativo a la celebración del Acuerdo de asociación en el sector pesquero entre la Comunidad Económica Europea y la República de las Seychelles | 
COM(2006) 98 | | 3.3.2006 | Propuesta de Reglamento del Consejo que modifica el Reglamento (CE) no 1785/2003 en lo que atañe al régimen de importación de arroz | 
COM(2006) 101 | | 6.3.2006 | Propuesta de Reglamento del Consejo que modifica el Reglamento (CE) no 1531/2002 por el que se establece un derecho antidumping definitivo sobre las importaciones de receptores de televisión en color originarios inter alia de la República Popular China | 
COM(2006) 107 | | 8.3.2006 | Propuesta de Reglamento del Consejo que modifica el Reglamento (CE) no 1480/2003 del Consejo, por el que se establece un derecho compensatorio definitivo y se percibe definitivamente el derecho provisional establecido sobre las importaciones de determinados microcircuitos electrónicos conocidos como DRAM (memorias dinámicas de acceso aleatorio) originarios de la República de Corea | 
COM(2006) 111 | | 27.3.2006 | Propuesta de Reglamento del Parlamento Europeo y del Consejo por el que se modifica el Reglamento (CE) no 417/2002 relativo a la introducción acelerada de normas en materia de doble casco o de diseño equivalente para petroleros de casco único, y por el que se deroga el Reglamento (CE) no 2978/94 del Consejo | 
COM(2006) 112 | | 13.3.2006 | Propuesta de Decisión del Consejo relativa a la posición de la Comunidad con respecto al proyecto de Reglamento de la Comisión Económica para Europa de las Naciones Unidas sobre la homologación de los sistemas de separación destinados a proteger a los pasajeros en caso de desplazamiento del equipaje y suministrados como equipo no original | 
