Documentos COM distintos de las propuestas legislativas adoptadas por la Comisión 
Documentos COM distintos de las propuestas legislativas adoptadas por la Comisión 
(2006/C 184/13) 
Documento | Parte | Fecha | Título | 
COM(2006) 157 | | 5.4.2006 | Comunicación de la Comisión al Consejo, al Parlamento Europeo y al Comité Económico y Social Europeo: Aplicación del Programa comunitario de Lisboa: Avances realizados y por realizar para el establecimiento de una base imponible consolidada común del impuesto sobre sociedades (BICCIS) | 
COM(2006) 167 | | 21.4.2006 | Informe de la Comisión sobre la aplicación de la Posición Común del Consejo 2005/69/JAI | 
COM(2006) 187 | | 2.5.2006 | Informe de la Comisión al Consejo y al Parlamento Europeo Basado en el artículo 10 de la Decisión marco del Consejo, de 19 de julio de 2002, relativa a la lucha contra la trata de seres humanos | 
COM(2006) 193 | | 4.5.2006 | Informe de la Comisión al Parlamento Europeo y al Consejo sobre la aplicación de las acciones comunitarias en apoyo de la política de los consumidores en el período 2004-2005 tal como se establece en la Decisión 20/2004/CE | 
COM(2006) 200 | | 3.5.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo La ampliación dos años después: un éxito económico | 
COM(2006) 203 | | 16.5.2006 | Informe de la Comisión al Consejo, al Parlamento Europeo y al Comité Económico y Social Europeo sobre la aplicación de la Decisión no 2001/470/CE del Consejo por la que se crea una Red Judicial Europea en materia civil y mercantil | 
COM(2006) 212 | | 10.5.2006 | Comunicación de la Comisión al Consejo Europeo: El período de reflexión y el Plan D | 
COM(2006) 214 | | 16.5.2006 | Comunicación de la Comisión: Informe de seguimiento sobre el grado de preparación para la adhesión a la UE de Bulgaria y Rumanía | 
COM(2006) 216 | | 22.5.2006 | Comunicación de la Comisión: Detener la pérdida de biodiversidad para 2010 — y más adelante: Respaldar los servicios de los ecosistemas para el bienestar humano | 
COM(2006) 239 | | 24.5.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo: Conjunto de propuestas legislativas subsiguientes al Acuerdo interinstitucional sobre la disciplina presupuestaria y la buena gestión financiera | 
COM(2006) 248 | | 29.5.2006 | Comunicación de la Comisión al Consejo, al Parlamento Europeo y al Comité Económico y Social Europeo: Relaciones de la UE con las Islas del Pacífico- Estrategia para una asociación reforzada | 
COM(2006) 254 | | 31.5.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo Conjunto de propuestas legislativas subsiguientes al Acuerdo interinstitucional sobre la disciplina presupuestaria y la buena gestión financiera | 
COM(2006) 272 | | 7.6.2006 | Comunicación de la Comisión al Parlamento Europeo y al Consejo: Situación del programa Galileo | 
COM(2006) 276 | | 8.6.2006 | Comunicación de la Comisión al Consejo Europeo: Nuevos pasos con vistas a la creación del Instituto Europeo de Tecnología | 
COM(2006) 277 | | 7.6.2006 | Comunicación de la Comisión al Parlamento Europeo, al Consejo y al Tribunal de Cuentas Europeo: Síntesis de los resultados de la gestión de la Comisión en 2005 | 
COM(2006) 278 | | 8.6.2006 | Comunicación de la Comisión al Consejo Europeo de junio de 2006 Europa en el mundo — Propuestas concretas para reforzar la coherencia, la eficacia y la visibilidad | 
COM(2006) 281 | | 12.6.2006 | Informe de la Comisión: La estrategia de crecimiento y empleo y la reforma de la política de cohesión europea Cuarto informe intermedio sobre la cohesión | 
COM(2006) 283 | | 7.6.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo Recomendaciones para un compromiso renovado de la Unión Europea con Irak | 
COM(2006) 285 | | 9.6.2006 | Informe de la Comisión al Consejo y al Parlamento Europeo sobre la aplicación del Reglamento (CE) no 2792/1999 tal como fue modificado por el Reglamento (CE) no 485/2005 del Consejo en lo que atañe a una acción específica de traspaso de buques a los países damnificados por el tsunami de 2004 | 
COM(2006) 287 | | 19.6.2006 | Comunicación de la Comisión con arreglo al artículo 138, apartado 2, del Tratado CE, sobre el reforzamiento de las normas que regulan el trabajo marítimo | 
COM(2006) 289 | | 13.6.2006 | Informe de la Comisión %quot%Legislar mejor 2005%quot% de conformidad con el artículo 9 del Protocolo sobre la aplicación de los principios de subsidiariedad y proporcionalidad (XIII Informe) | 
COM(2006) 302 | | 15.6.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo relativa a un Plan de acción de la UE para los bosques | 
COM(2006) 313 | | 19.6.2006 | Informe de la Comisión al Consejo, al Parlamento Europeo, al Comité Económico y Social Europeo y al Comité de las Regiones: Primer informe sobre la aplicación de la Directiva sobre la sangre | 
COM(2006) 316 | | 26.6.2006 | Libro Verde sobre el papel de la sociedad civil en la política de la Unión Europea en materia de drogas | 
COM(2006) 317 | | 21.6.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo: Información financiera sobre los Fondos Europeos de Desarrollo | 
COM(2006) 319 | | 22.6.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo: Hacia un sector vitivinícola europeo sostenible | 
COM(2006) 320 | 1 | 28.6.2006 | Comunicación de la Comisión al Parlamento Europeo, al Consejo Y al Banco Central Europeo: Derecho derivado sobre el euro y Eslovenia | 
COM(2006) 321 | | 21.6.2006 | Informe de la Comisión sobre la aplicación en el período 2001-2002 del Reglamento (CEE) no 3820/85 relativo a la armonización de determinadas disposiciones en materia social en el sector de los transportes por carretera (22o informe de la Comisión sobre la aplicación de la legislación social relacionada con el transporte por carretera) | 
COM(2006) 327 | | 22.6.2006 | Comunicación de la Comisión al Parlamento Europeo y al Consejo: Ajuste técnico del marco financiero en 2007 en función de la evolución de la RNB y de los precios (Apartado 16 del Acuerdo interinstitucional de 17 de mayo de 2006 sobre disciplina presupuestaria y gestión financiera saneada) | 
COM(2006) 328 | | 23.6.2006 | Comunicación de la Comisión al Parlamento Europeo y al Consejo sobre acciones para una Europa más segura | 
COM(2006) 331 | | 28.6.2006 | Comunicación de la Comisión al Consejo y al Parlamento Europeo: Ejecución del Programa de La Haya: el camino a seguir | 
COM(2006) 335 | | 16.6.2006 | Comunicación de la Comisión al Consejo Denuncia del Acuerdo entre la Comunidad Europea y los Estados Unidos de América sobre el tratamiento y la transferencia de datos PNR por las compañías aéreas a los servicios de aduana y protección de fronteras del Ministerio americano de Seguridad interior | 
COM(2006) 339 | 1 | 28.6.2006 | Comunicación de la Comisión relativa a la ejecución del Programa Hércules, así como a su prórroga para el período 2007-2013 | 
COM(2006) 342 | | 30.6.2006 | Comunicación de la Comisión al Consejo: Análisis de las excepciones que expiran a finales de 2006 de los anexos II y III de la Directiva 2003/96/CE del Consejo | 
COM(2006) 357 | | 4.7.2006 | Comunicación de la Comisión al Consejo, al Parlamento Europeo, al Comité Económico y Social y al Comité de las Regiones: Comentarios de la Comisión acerca de las conclusiones y las recomendaciones de la evaluación a medio plazo del programa %quot%Energía Inteligente — Europa%quot% (2003-2006) | 
COM(2006) 366 | | 10.7.2006 | Informe de la Comisión: Informe anual de la Comisión sobre el Fondo de Garantía y su gestión en 2005 | 
COM(2006) 371 | | 7.7.2006 | Informe de la Comisión sobre el funcionamiento de las disposiciones de la Directiva 2003/88/CE (ordenación del tiempo de trabajo de los trabajadores del sector de transporte de pasajeros en servicios de transporte urbano regular) | 
Estos textos se encuentran disponibles en EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
