Lista de nombramientos efectuados por el Consejo (Meses de: enero, febrero y marzo de 2006) (ámbito social) 
Lista de nombramientos efectuados por el Consejo 
(Meses de: enero, febrero y marzo de 2006) (ámbito social) 
(2006/C 118/01) 
Comité | Fin del mandato | Publicación en el DO | Persona sustituida | Dimisión/Nombramiento | Mimbro Titular/Suplente | Categoría | País | Persona nombrada | Adscripción | Fecha de decisión del Consejo | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D. Roger McKENZIE | Dimisión | Titular | Trabajadores | Reino Unido | D. Wilf SULLIVAN | TUC | 14.2.2006 | 
Comité consultivo para la libre circulación des trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D. Nick CLARK | Dimisión | Suplente | Trabajadores | Reino Unido | D. Sean BAMFORD | TUC | 14.2.2006 | 
Comité consultivo para la libre circulación de los Trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D.a Emmeline OWENS | Dimisión | Titular | Empresarios | Reino Unido | D. Neil CARBERRY | CBI | 14.2.2006 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D. Raphael SCERRI | Dimisión | Titular | Gobierno | Malta | D. Robert SUBAN | Employment and Training Corporation | 20.2.2006 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D. Rui Manuel OLIVEIRA e COSTA | Dimisión | Titular | Trabajadores | Portugal | D. José CORDEIRO | UGT | 20.2.2006 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D. Kalle RÄISÄNEN | Dimisión | Titular | Trabajadores | Finlandia | D. Olli KOSKI | SAK | 26.2.2006 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D.a Piret LILLEVÄLI | Dimisión | Titular | Gobierno | Estonia | D. Janno JÄRVE | Ministry of Social Affairs | 10.3.2006 | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 del 18.1.2005 | D.a Maarja SAKS | Dimisión | Suplente | Gobierno | Estonia | D.a Maarja KULDJÄRV | Ministry of Social Affairs | 10.3.2006 | 
Comité consultivo para la seguridad social de los trabajadores migrantes | 22.9.2006 | C 12 del 18.1.2005 | D.a Anne NEIMALA | Dimisión | Titular | Gobierno | Finlandia | D.a Carin LINDQVIST-VIRTANEN | Sosiaali- ja terveysministeriö | 14.2.2006 | 
Comité consultivo para la seguridad social de los trabajadores migrantes | 22.9.2006 | C 12 del 18.1.2005 | D. Rui Manuel OLIVEIRA e COSTA | Dimisión | Titular | Trabajadores | Portugal | D.a Ana Paula BERNARDO | UGT | 20.2.2006 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 del 31.12.2003, C 116 del 30.4.2004, C 122 del 30.4.2004 | D.a Amy SADRO | Dimisión | Suplente | Gobierno | Reino Unido | D. Jason BATT | Health and Safety Executive | 20.2.2006 | 
Comité consultivo para la seguridad y la salud en el trabajo | 31.12.2006 | C 321 del 31.12.2003, C 116 del 30.4.2004, C 122 del 30.4.2004 | D. Luboš POMAJBÍK | Dimisión | Suplente | Trabajadores | República Checa | D. Miroslav KOSINA | Moravian Trade Union for Safety and Health at Work | 14.2.2006 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | L 184 del 15.7.2005 C 161 del 5.7.2002, C 116 del 30.4.2004 | D. Alexander HEIDER | Dimisión | Suplente | Trabajadores | Austria | D.a Julia LISCHKA | Kammer für Arbeiter und Angestellte | 14.2.2006 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | L 184 del 15.7.2005 C 161 del 5.7.2002, C 116 del 30.4.2004 | D. Tapio KUIKKO | Dimisión | Titular | Empresarios | Finlandia | D. Jyrki HOLLMEN | Confederation of Finnish Industries | 14.2.2006 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | L 184 del 15.7.2005 C 161 del 5.7.2002, C 116 del 30.4.2004 | D. Patrick LEVY | Dimisión | Titular | Empresarios | Francia | D.a Nathalie BUET | MEDEF | 10.3.2006 | 
Consejo de dirección de la Agencia Europea para la seguridad y la salud en el trabajo | — | L 184 del 15.7.2005 C 161 del 5.7.2002, C 116 del 30.4.2004 | D.a Nathalie BUET | Dimisión | Suplente | Empresarios | Francia | D. Patrick LEVY | UIC | 10.3.2006 | 
Consejo de dirección de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | C 317 del 22.12.2004 | D. C.J. VOS | Dimisión | Titular | Gobierno | Países Bajos | D. L.C. BEETS | Ministerie van sociale Zaken en Werkgelegenheid | 23.1.2006 | 
Consejo de dirección de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | C 317 del 22.12.2004 | D.a Lenia SAMUEL | Dimisión | Titular | Gobierno | Chipre | D. Kypros KYPRIANOU | Ministry of Labour and Social Insurance | 14.2.2006 | 
Consejo de dirección de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | C 317 del 22.12.2004 | D. Charalambos KOLOKOTRONIS | Dimisión | Suplente | Gobierno | Chipre | D.a Marina IOANNOU | Ministry of Labour and Social Insurance | 14.2.2006 | 
-------------------------------------------------- 
