Tipo de cambio del euro 
Tipo de cambio del euro [1] 
3 de febrero de 2006 
(2006/C 29/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,2061 | 
JPY | yen japonés | 143,05 | 
DKK | corona danesa | 7,4646 | 
GBP | libra esterlina | 0,67910 | 
SEK | corona sueca | 9,2780 | 
CHF | franco suizo | 1,5549 | 
ISK | corona islandesa | 75,96 | 
NOK | corona noruega | 8,0225 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5739 | 
CZK | corona checa | 28,524 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 251,07 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6960 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,8330 | 
RON | leu rumano | 3,6072 | 
SIT | tólar esloveno | 239,46 | 
SKK | corona eslovaca | 37,365 | 
TRY | lira turca | 1,5970 | 
AUD | dólar australiano | 1,6037 | 
CAD | dólar canadiense | 1,3821 | 
HKD | dólar de Hong Kong | 9,3565 | 
NZD | dólar neozelandés | 1,7482 | 
SGD | dólar de Singapur | 1,9696 | 
KRW | won de Corea del Sur | 1170,10 | 
ZAR | rand sudafricano | 7,3328 | 
CNY | yuan renminbi | 9,7221 | 
HRK | kuna croata | 7,3330 | 
IDR | rupia indonesia | 11228,79 | 
MYR | ringgit malayo | 4,516 | 
PHP | peso filipino | 62,355 | 
RUB | rublo ruso | 34,0030 | 
THB | baht tailandés | 47,506 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
