Tipo de cambio del euro 
Tipo de cambio del euro [1] 
13 de marzo de 2006 
(2006/C 61/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,1922 | 
JPY | yen japonés | 141,94 | 
DKK | corona danesa | 7,4600 | 
GBP | libra esterlina | 0,69015 | 
SEK | corona sueca | 9,3786 | 
CHF | franco suizo | 1,5686 | 
ISK | corona islandesa | 85,82 | 
NOK | corona noruega | 7,9755 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5752 | 
CZK | corona checa | 28,840 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 261,44 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6961 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,9306 | 
RON | leu rumano | 3,5100 | 
SIT | tólar esloveno | 239,56 | 
SKK | corona eslovaca | 37,630 | 
TRY | lira turca | 1,6055 | 
AUD | dólar australiano | 1,6284 | 
CAD | dólar canadiense | 1,3841 | 
HKD | dólar de Hong Kong | 9,2512 | 
NZD | dólar neozelandés | 1,8584 | 
SGD | dólar de Singapur | 1,9402 | 
KRW | won de Corea del Sur | 1169,25 | 
ZAR | rand sudafricano | 7,4575 | 
CNY | yuan renminbi | 9,5976 | 
HRK | kuna croata | 7,3148 | 
IDR | rupia indonesia | 11021,89 | 
MYR | ringgit malayo | 4,434 | 
PHP | peso filipino | 61,088 | 
RUB | rublo ruso | 33,4250 | 
THB | baht tailandés | 46,707 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
