Europol %mdash% Budget rectificatif 2006 pour l'%Eacute%tat d'accueil (partie%nbsp%C) 
Europol 
Budget rectificatif 2006 pour l'État d'accueil (partie C) [1] 
(2006/C 68/02) 
État hôte 
Titre Chapitre Article | Description | Budget initial 2005 | Budget rectificatif 2005 | Budget révisé 2005 | Commentaire | 
7 | RECETTES, ÉTAT D'ACCUEIL | | | | | 
70 | Contributions | | | | | 
700 | Contribution de l'État d'accueil, sécurité | 2169109 | – 30000 | 2139109 | Nonobstant l'article 35 de la Convention Europol et l'article 16 du règlement financier, le conseil d'administration peut, statuant à l'unanimité et sur la base d'une proposition du directeur, modifier le montant des crédits, à condition que le total des recettes couvre le total des dépenses (voir chapitre 80). La proposition du directeur doit être arrêtée conformément à un accord conclu entre Europol et le ministère de la Justice néerlandais. | 
701 | Contribution de l'État d'accueil, immeubles | p.m. | — | p.m. | Nonobstant l'article 35 de la Convention Europol et l'article 16 du règlement financier, le conseil d'administration peut, statuant à l'unanimité et sur la base d'une proposition du directeur, modifier le montant des crédits, à condition que le total des recettes couvre le total des dépenses (voir article 810). La proposition du directeur doit être arrêtée conformément à un accord conclu entre Europol et le ministère de la Justice néerlandais. | 
702 | Solde de l'exercice t-2 | 247891 | — | 247891 | | 
| Total chapitre 70 | 2417000 | – 30000 | 2387000 | | 
71 | Autres recettes | | | | | 
711 | Questions diverses | — | p.m. | p.m. | | 
| Total chapitre 71 | — | p.m. | p.m. | | 
| TOTAL TITRE 7 | 2417000 | – 30000 | 2387000 | | 
8 | DÉPENSES, ÉTAT D'ACCUEIL | | | | | 
80 | Sécurité | | | | | 
800 | Dépenses relatives à la sécurité | 2417000 | – 30000 | 2387000 | Nonobstant l'article 35 de la Convention Europol et l'article 16 du règlement financier, le conseil d'administration peut, statuant à l'unanimité et sur la base d'une proposition du directeur, modifier le montant des crédits, à condition que le total des recettes couvre le total des dépenses (voir article 700). La proposition du directeur doit être arrêtée conformément à un accord conclu entre Europol et le ministère de la Justice néerlandais. | 
| Total chapitre 80 | 2417000 | – 30000 | 2387000 | | 
81 | Coûts de construction | | | | | 
810 | Coûts de construction, État hôte | p.m. | — | p.m. | Nonobstant l'article 35 de la Convention Europol et l'article 16 du règlement financier, le conseil d'administration peut, statuant à l'unanimité et sur la base d'une proposition du directeur, modifier le montant des crédits, à condition que le total des recettes couvre le total des dépenses (voir article 701). La proposition du directeur doit être arrêtée conformément à un accord conclu entre Europol et le ministère de la Justice néerlandais. | 
| Total chapitre 81 | p.m. | — | p.m. | | 
| TOTAL TITRE 8 | 2417000 | – 30000 | 2387000 | | 
| TOTAL DES RECETTES, SECTION C | 2417000 | – 30000 | 2387000 | | 
| TOTAL DES DÉPENSES, SECTION C | 2417000 | – 30000 | 2387000 | | 
[1] Adopté par le conseil d'administration (dossier no: 2210-197). 
-------------------------------------------------- 
