Propositions législatives adoptées par la Commission 
(2005/C 55/06) 
Document | Partie | Date | Titre | 
COM(2004) 289 | | 28.4.2004 | Proposition de règlement du Conseil instituant une agence communautaire de contrôle des pêches et modifiant le règlement (CE) no 2847/93 instituant un régime de contrôle applicable à la politique commune de la pêche | 
COM(2004) 392 | | 25.5.2004 | Proposition de directive du Parlement européen et du Conseil relative à des services d'information fluviale harmonisés sur les voies navigables communautaires | 
COM(2004) 473 | | 12.7.2004 | Proposition de directive du Parlement européen et du Conseil concernant une licence communautaire de contrôleur de la circulation aérienne | 
COM(2004) 477 | | 14.7.2004 | Proposition de règlement du Parlement européen et du Conseil relatif à la mise en œuvre des phases de déploiement et d'exploitation du programme européen de radionavigation par satellite | 
COM(2004) 529 | | 29.7.2004 | Proposition de décision du Conseil relative à la position communautaire à adopter sur certaines propositions soumises à la treizième réunion de la Conférence des parties à la convention sur le commerce international des espèces de faune et de flore sauvages menacées d'extinction (CITES) organisée à Bangkok (Thaïlande) du 2 au 14 octobre 2004. | 
COM(2004) 537 | | 4.8.2004 | Proposition de décision du Conseil concernant des propositions, au nom de la Communauté européenne et des États membres, relatives à des amendements aux annexes I à III du Protocole de 1998 à la Convention sur la pollution atmosphérique transfrontière à longue distance de 1979 relatif aux polluants organiques persistants et aux annexes A à C de la Convention de Stockholm sur les polluants organiques persistants | 
COM(2004) 785 | | 8.12.2004 | Proposition de règlement du Conseil établissant, pour 2005, les possibilités de pêche et les conditions associées pour certains stocks halieutiques et groupes de stocks halieutiques, applicables dans les eaux communautaires et, pour les navires communautaires, dans les eaux soumises à des limitations de capture | 
COM(2004) 802 | | 14.12.2004 | Proposition de décision du Conseil concernant la conclusion de l'accord de coopération scientifique et technologique entre la Communauté européenne et les États-Unis du Mexique | 
COM(2004) 808 | 1 | 17.12.2004 | Proposition de décision du Conseil relative à la signature, au nom de la Communauté européenne, et à l'application provisoire de certaines dispositions d'un accord euro-méditerranéen d'association entre la Communauté européenne et ses États membres, d'une part, et la République arabe syrienne, d'autre part | 
COM(2004) 808 | 2 | 17.12.2004 | Proposition de décision du Conseil relative à la conclusion d'un accord euro-méditerranéen d'association entre la Communauté européenne et ses États membres, d'une part, et la République arabe syrienne, d'autre part | 
COM(2004) 827 | | 22.12.2004 | Proposition de règlement du Conseil modifiant les listes des procédures d'insolvabilité, des procédures de liquidation et des syndics figurant aux annexes A, B et C du règlement (CE) no 1346/2000 relatif aux procédures d'insolvabilité | 
COM(2004) 847 | | 4.1.2005 | Proposition de décision du Conseil concernant la conclusion d'un accord sur l'accès aux marchés entre le gouvernement de la République socialiste du Viêt Nam et la Communauté européenne | 
COM(2004) 862 | 1 | 7.1.2005 | Proposition de décision du Conseil relative à la demande de signature et à l'application provisoire d'un protocole à l'accord intérimaire entre la Communauté européenne, d'une part, et la République libanaise, d'autre part, visant à tenir compte de l'adhésion à la Communauté de la République tchèque, de la République d'Estonie, de la République de Chypre, de la République de Lettonie, de la République de Lituanie, de la République de Hongrie, de la République de Malte, de la République de Pologne, de la République de Slovénie et de la République slovaque | 
COM(2004) 862 | 2 | 7.1.2005 | Proposition de décision du Conseil relative à la demande de signature et à l'application provisoire d'un protocole à l'accord intérimaire entre la Communauté européenne, d'une part, et la République libanaise, d'autre part, visant à tenir compte de l'adhésion à la Communauté de la République tchèque, de la République d'Estonie, de la République de Chypre, de la République de Lettonie, de la République de Lituanie, de la République de Hongrie, de la République de Malte, de la République de Pologne, de la République de Slovénie et de la République slovaque | 
COM(2004) 864 | | 7.1.2005 | Proposition de décision du Conseil concernant la conclusion d'un protocole modifiant l'accord relatif aux transports maritimes entre la Communauté européenne et ses États membres, d'une part, et la République populaire de Chine, d'autre part, pour tenir compte de l'adhésion à l'Union européenne de la République tchèque, de la République d'Estonie, de la République de Chypre, de la République de Hongrie, de la République de Lettonie, de la République de Lituanie, de la République de Malte, de la République de Pologne, de la République de Slovénie et de la République slovaque | 
COM(2005) 5 | | 19.1.2005 | Proposition de décision du Conseil relative à la conclusion de l'accord bilatéral entre la Communauté européenne et la République de Serbie sur le commerce de produits textiles | 
COM(2005) 18 | | 27.1.2005 | Proposition de décision du Conseil prorogeant la période d'application des mesures prévues par la décision 2002/148/CE portant conclusion des consultations engagées avec le Zimbabwe en application de l'article 96 de l'accord de partenariat ACP-CE | 
COM(2005) 21 | | 28.1.2005 | Proposition de règlement du Conseil portant modification des mesures antidumping instituées par le règlement (CE) no 348/2000 du Conseil sur les importations de certains tubes et tuyaux sans soudure, en fer ou en acier non allié, originaires de Croatie et d'Ukraine | 
COM(2005) 27 | | 4.2.2005 | Proposition de règlement du Conseil modifiant le règlement (CEE) no 1883/78 relatif aux règles générales sur le financement des interventions par le Fonds européen d'orientation et de garantie agricole, section "Garantie" | 
COM(2005) 32 | | 8.2.2005 | Proposition de directive du Conseil concernant l'accord entre la Communauté européenne du rail (CER) et la Fédération européenne des travailleurs des transports (ETF) sur certains aspects des conditions d'utilisation des travailleurs mobiles effectuant des services d'interopérabilité transfrontalière | 
COM(2005) 38 | | 7.2.2005 | Proposition de directive du Conseil modifiant l'annexe IV de la directive 2000/29/CE concernant les mesures de protection contre l'introduction dans la Communauté d'organismes nuisibles aux végétaux ou aux produits végétaux et contre leur propagation à l'intérieur de la Communauté | 
Ces textes sont disponibles sur: EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
