Documents COM autres que les propositions lgislatives adoptes par la Commission 
Documents COM autres que les propositions législatives adoptées par la Commission 
(2005/C 125/04) 
Document | Partie | Date | Titre | 
COM(2004) 580 | | 6.9.2004 | Communication de la Commission au Parlement européen et au Conseil: Les responsabilités respectives des Etats membres et de la Commission dans la gestion partagée des Fonds structurels et du Fonds de cohésion — Situation actuelle et perspectives pour la nouvelle période de programmation après 2006 | 
COM(2004) 626 | | 29.9.2004 | Communication de la Commission au Conseil et au Parlement européen relative aux instruments consacrés à l'aide extérieure dans le cadre des futures perspectives financières 2007-2013 | 
COM(2004) 811 | | 11.1.2005 | Livre vert sur une approche communautaire de la gestion des migrations économiques | 
COM(2005) 8 | | 27.1.2005 | Communication de la Commission: Deuxième rapport sur la mise en oeuvre des GOPE 2003-2005 | 
COM(2005) 10 | | 25.1.2005 | Livre blanc relatif à l'échange d'informations sur les condamnations pénales et à l'effet de celles-ci dans l'Union européenne | 
COM(2005) 14 | | 27.1.2005 | Communication de la Commission au Conseil, au Parlement européen, au Comité économique et social européen et au Comité des Régions: Projet de rapport conjoint sur la protection sociale et l'inclusion sociale | 
COM(2005) 15 | | 26.1.2005 | Programme de travail de la Commission pour 2005: Communication du Président en accord avec Mme Wallström, Vice-présidente | 
COM(2005) 26 | | 10.2.2005 | Rapport de la Commission au Conseil, au Parlement européen, à la Cour des comptes européenne, au Comité économique et social européen et au Comité des régions: Rapport Tempus 2002 et 2003 | 
COM(2005) 50 | | 17.2.2005 | Rapport de la Commission au Parlement européen et au Conseil concernant le fonctionnement de l'organisation commune des marchés dans le secteur de la banane | 
COM(2005) 64 | | 1.3.2005 | Rapport de la Commission: rapport 2003 relatif au programme phare et aux instruments de préadhésion pour Chypre, Malte et la Turquie | 
COM(2005) 65 | | 1.3.2005 | Livre vert: Successions et testaments | 
COM(2005) 76 | | 7.3.2005 | Communication de la Commission au Conseil et au Parlement européen: Initiative européenne pour la croissance Concept d'instrument de garantie de prêt européen pour les projets de RTE-T | 
COM(2005) 78 | | 11.3.2005 | Communication de la Commission — Une politique communautaire dans le domaine de l'aviation civile à l'égard de la République populaire de Chine — Renforcer la coopération et ouvrir des marchés | 
COM(2005) 79 | | 11.3.2005 | Communication de la Commission — Développer l'agenda de la politique extérieure de l'aviation de la Communauté | 
COM(2005) 82 | | 14.3.2005 | Livre vert sur le droit applicable et la compétence en matière de divorce | 
COM(2005) 118 | | 6.4.2005 | Communication de la Commission — Bâtir l'EER de la connaissance au service de la croissance | 
COM(2005) 127 | 1 | 6.4.2005 | Communication de la Commission au Parlement européen et au Conseil concernant la mise en œuvre et la poursuite du programme Pericles pour la protection de l'euro contre le faux monnayage | 
COM(2005) 141 | 1 | 12.4.2005 | Lignes directrices intégrées pour la croissance et l'emploi (2005-2008): Communication du président, en accord avec le vice-président Verheugen et les commissaires Almunia et Spidla comprenant une recommandation de la COmmission relative aux grandes orientations des politiques économiques des États membres et de la Communauté (en application de l'article 99 du traité CE) | 
COM(2005) 150 | | 21.4.2005 | Communication de la Commission au Conseil: Instauration d'un examen par l'EDRC de l'OCDE des politiques économiques communautaires parallèlement à l'enquête sur la zone euro | 
COM(2005) 178 | | 2.5.2005 | Rapport de la Commission au Parlement européen et au Conseil — Rapport général sur l'aide de préadhésion (PHARE — ISPA — SAPARD) en 2003 | 
COM(2005) 476 | | 12.4.2005 | Communication de la Commission sur l'état de préparation de la Serbie-et-Monténégro en vue de la négociation d'un accord de stabilisation et d'association avec l'Union européenne | 
Ces textes sont disponibles sur: EUR-Lex: http://europa.eu.int/eur-lex/lex/ 
-------------------------------------------------- 
