Relevé des nominations effectuées par le Conseil (Mois de janvier, février et mars 2006) (domaine social) 
Relevé des nominations effectuées par le Conseil 
(Mois de janvier, février et mars 2006) (domaine social) 
(2006/C 118/01) 
Comité | Fin du mandat | Publication au JO | Personne remplacée | Démission/Nomination | Membre/Titulaire/Suppléant | Catégorie | Pays | Personne nommée | Appartenance | Date de la décision du Conseil | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Roger McKENZIE | Démission | Titulaire | Travailleurs | Royaume-Uni | M. Wilf SULLIVAN | TUC | 14.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Nick CLARK | Démission | Suppléant | Travailleurs | Royaume-Uni | M. Sean BAMFORD | TUC | 14.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Emmeline OWENS | Démission | Titulaire | Employeurs | Royaume-Uni | M. Neil CARBERRY | CBI | 14.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Raphael SCERRI | Démission | Titulaire | Gouvernement | Malte | M. Robert SUBAN | Employment and Training Corporation | 20.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Rui Manuel OLIVEIRA e COSTA | Démission | Titulaire | Travailleurs | Portugal | M. José CORDEIRO | UGT | 20.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Kalle RÄISÄNEN | Démission | Titulaire | Travailleurs | Finlande | M. Olli KOSKI | SAK | 26.2.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Piret LILLEVÄLI | Démission | Titulaire | Gouvernement | Estonie | M. Janno JÄRVE | Ministry of Social Affairs | 10.3.2006 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Maarja SAKS | Démission | Suppléant | Gouvernement | Estonie | Mme Maarja KULDJÄRV | Ministry of Social Affairs | 10.3.2006 | 
Comité consultatif pour la sécurité sociale des travailleurs migrants | 22.9.2006 | C 12 du 18.1.2005 | Mme Anne NEIMALA | Démission | Titulaire | Gouvernement | Finlande | Mme Carin LINDQVIST-VIRTANEN | Sosiaali- ja terveysministeriö | 14.2.2006 | 
Comité consultatif pour la sécurité sociale des travailleurs migrants | 22.9.2006 | C 12 du 18.1.2005 | M. Rui Manuel OLIVEIRA e COSTA | Démission | Titulaire | Travailleurs | Portugal | Mme Ana Paula BERNARDO | UGT | 20.2.2006 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | Mme Amy SADRO | Démission | Suppléant | Gouvernement | Royaume-Uni | M. Jason BATT | Health and Safety Executive | 20.2.2006 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | M. Luboš POMAJBÍK | Démission | Suppléant | Travailleurs | République tchèque | M. Miroslav KOSINA | MoravianTrade Union for Safety and Health at Work | 14.2.2006 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | M. Alexander HEIDER | Démission | Suppléant | Travailleurs | Autriche | Mme Julia LISCHKA | Kammer für Arbeiter und Angestellte | 14.2.2006 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | M. Tapio KUIKKO | Démission | Titulaire | Employeurs | Finlande | M. Jyrki HOLLMÈN | Confederation of Finnish Industries | 14.2.2006 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | M. Patrick LEVY | Démission | Titulaire | Employeurs | France | Mme Nathalie BUET | MEDEF | 10.3.2006 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | Mme Nathalie BUET | Démission | Suppléant | Employeurs | France | M. Patrick LEVY | UIC | 10.3.2006 | 
Conseil de direction de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | M. C.J. VOS | Démission | Titulaire | Gouvernement | Pays-Bas | M. L.C. BEETS | Ministerie van Sociale Zaken en Werkgelegenheid | 23.1.2006 | 
Conseil de direction de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | Mme Lenia SAMUEL | Démission | Titulaire | Gouvernement | Chypre | M. Kypros KYPRIANOU | Ministry of Labour and Social Insurance | 14.2.2006 | 
Conseil de direction de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | M. Charalambos KOLOKOTRONIS | Démission | Suppléant | Gouvernement | Chypre | Mme Marina IOANNOU | Ministry of Labour and Social Insurance | 14.2.2006 | 
-------------------------------------------------- 
