Taux de change de l'euro 
Taux de change de l'euro [1] 
22 février 2006 
(2006/C 45/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,1875 | 
JPY | yen japonais | 140,91 | 
DKK | couronne danoise | 7,4620 | 
GBP | livre sterling | 0,68280 | 
SEK | couronne suédoise | 9,3762 | 
CHF | franc suisse | 1,5593 | 
ISK | couronne islandaise | 80,48 | 
NOK | couronne norvégienne | 8,0575 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5746 | 
CZK | couronne tchèque | 28,553 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 253,31 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6961 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,8130 | 
RON | leu roumain | 3,4975 | 
SIT | tolar slovène | 239,49 | 
SKK | couronne slovaque | 37,445 | 
TRY | lire turque | 1,5805 | 
AUD | dollar australien | 1,6162 | 
CAD | dollar canadien | 1,3640 | 
HKD | dollar de Hong Kong | 9,2168 | 
NZD | dollar néo-zélandais | 1,8055 | 
SGD | dollar de Singapour | 1,9389 | 
KRW | won sud-coréen | 1157,34 | 
ZAR | rand sud-africain | 7,2828 | 
CNY | yuan ren-min-bi chinois | 9,5590 | 
HRK | kuna croate | 7,3155 | 
IDR | rupiah indonésien | 11109,06 | 
MYR | ringgit malais | 4,419 | 
PHP | peso philippin | 61,513 | 
RUB | rouble russe | 33,5210 | 
THB | baht thaïlandais | 46,926 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
