Taux de change de l'euro 
Taux de change de l'euro [1] 
11 avril 2006 
(2006/C 89/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2105 | 
JPY | yen japonais | 143,73 | 
DKK | couronne danoise | 7,4627 | 
GBP | livre sterling | 0,69390 | 
SEK | couronne suédoise | 9,3345 | 
CHF | franc suisse | 1,5776 | 
ISK | couronne islandaise | 89,74 | 
NOK | couronne norvégienne | 7,8225 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5764 | 
CZK | couronne tchèque | 28,550 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 264,96 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,9340 | 
RON | leu roumain | 3,4912 | 
SIT | tolar slovène | 239,58 | 
SKK | couronne slovaque | 37,365 | 
TRY | lire turque | 1,6210 | 
AUD | dollar australien | 1,6560 | 
CAD | dollar canadien | 1,3864 | 
HKD | dollar de Hong Kong | 9,3924 | 
NZD | dollar néo-zélandais | 1,9855 | 
SGD | dollar de Singapour | 1,9554 | 
KRW | won sud-coréen | 1155,79 | 
ZAR | rand sud-africain | 7,4358 | 
CNY | yuan ren-min-bi chinois | 9,6973 | 
HRK | kuna croate | 7,3249 | 
IDR | rupiah indonésien | 10888,45 | 
MYR | ringgit malais | 4,441 | 
PHP | peso philippin | 61,990 | 
RUB | rouble russe | 33,5420 | 
THB | baht thaïlandais | 46,082 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
