Taux de change de l'euro 
Taux de change de l'euro [1] 
18 mai 2006 
(2006/C 118/02) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2770 | 
JPY | yen japonais | 141,94 | 
DKK | couronne danoise | 7,4528 | 
GBP | livre sterling | 0,67755 | 
SEK | couronne suédoise | 9,3755 | 
CHF | franc suisse | 1,5493 | 
ISK | couronne islandaise | 91,44 | 
NOK | couronne norvégienne | 7,8390 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5750 | 
CZK | couronne tchèque | 28,375 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 265,28 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,9705 | 
RON | leu roumain | 3,5330 | 
SIT | tolar slovène | 239,62 | 
SKK | couronne slovaque | 37,723 | 
TRY | lire turque | 1,9160 | 
AUD | dollar australien | 1,6739 | 
CAD | dollar canadien | 1,4235 | 
HKD | dollar de Hong Kong | 9,9022 | 
NZD | dollar néo-zélandais | 2,0469 | 
SGD | dollar de Singapour | 2,0187 | 
KRW | won sud-coréen | 1209,45 | 
ZAR | rand sud-africain | 8,2494 | 
CNY | yuan ren-min-bi chinois | 10,2390 | 
HRK | kuna croate | 7,2695 | 
IDR | rupiah indonésien | 11729,25 | 
MYR | ringgit malais | 4,603 | 
PHP | peso philippin | 67,157 | 
RUB | rouble russe | 34,5340 | 
THB | baht thaïlandais | 48,770 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
