COM documents other than legislative proposals adopted by the Commission 
COM documents other than legislative proposals adopted by the Commission 
(2006/C 184/13) 
Document | Part | Date | Title | 
COM(2006) 157 | | 5.4.2006 | Communication from the Commission to the Council, the European Parliament and the European Economic and Social Committee: Implementing the Community Lisbon Programme: Progress to date and next steps towards a Common Consolidated Corporate Tax Base (CCCTB) | 
COM(2006) 167 | | 21.4.2006 | Report from the Commission on the operation Council Common Position 2005/69/JHA | 
COM(2006) 187 | | 2.5.2006 | Report from the Commission to the Council and the European Parliament Based on Article 10 of the Council Framework Decision of 19 July 2002 on combating trafficking in human beings | 
COM(2006) 193 | | 4.5.2006 | Report from the Commission to the European Parliament and the Council on the implementation of Community actions in support of consumer policy 2004-2005 as established by Decision 20/2004/EC | 
COM(2006) 200 | | 3.5.2006 | Communication from the Commission to the Council and the European Parliament: Enlargement, Two Years After — An Economic Success | 
COM(2006) 203 | | 16.5.2006 | Report from the Commission to the Council, the European Parliament and the European Economic and Social Committee on the application of Council Decision 2001/470/EC establishing a European Judicial Network in civil and commercial matters | 
COM(2006) 212 | | 10.5.2006 | Communication from the Commission to the European Council: The Period of reflection and Plan D | 
COM(2006) 214 | | 16.5.2006 | Communication from the Commission: Monitoring report on the state of preparedness for EU membership of Bulgaria and Romania | 
COM(2006) 216 | | 22.5.2006 | Communication from the Commission: Halting the Loss of Biodiversity by 2010 — And Beyond Sustaining ecosystem services for human well–being | 
COM(2006) 239 | | 24.5.2006 | Communication from the Commission to the Council and the European Parliament: Package of legislative proposals following the Interinstitutional Agreement on budgetary discipline and sound financial management | 
COM(2006) 248 | | 29.5.2006 | Communication from the Commission to the Council, the European Parliament and the European Economic and Social Committee: EU Relations with the Pacific Islands — A Strategy for a Strengthened Partnership | 
COM(2006) 254 | | 31.5.2006 | Communication from the Commission to the Council, the European Parliament and the European Economic and Social Committee concerning the need to develop a co-ordinated strategy to improve the fight against fiscal fraud | 
COM(2006) 272 | | 7.6.2006 | Communication from the Commission to the European Parliament and the Council: Taking stock of the GALILEO programme | 
COM(2006) 276 | | 8.6.2006 | Communication from the Commission to the European Council: The European Institute of Technology: further steps towards its creation | 
COM(2006) 277 | | 7.6.2006 | Communication from the Commission to the European Parliament, the Council and the European Court of Auditors: Synthesis of the Commission's management achievements in 2005 | 
COM(2006) 278 | | 8.6.2006 | Communication from the Commission to the European Council of June 2006 Europe in the World — Some Practical Proposals for Greater Coherence, Effectiveness and Visibility | 
COM(2006) 281 | | 12.6.2006 | Communication from the Commission: The Growth and Jobs Strategy and the Reform of European cohesion policy — Fourth progress report on cohesion | 
COM(2006) 283 | | 7.6.2006 | Communication from the Commission to the Council and the European Parliament: Recommendations for renewed European Union engagement with Iraq | 
COM(2006) 285 | | 9.6.2006 | Report from the Commission to the Council and the European Parliament on the implementation of Regulation (EC) No 2792/1999 as amended by Council Regulation (EC) No 485/2005 of 16 March 2005 regarding a specific action for transfers of vessels to countries hit by tsunami in 2004 | 
COM(2006) 287 | | 19.6.2006 | Communication from the Commission under Article 138(2) of the EC Treaty on the strengthening of maritime labour standards | 
