Euro exchange rates 
Euro exchange rates [1] 
27 September 2005 
(2005/C 238/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2005 | 
JPY | Japanese yen | 136,01 | 
DKK | Danish krone | 7,4622 | 
GBP | Pound sterling | 0,68025 | 
SEK | Swedish krona | 9,3875 | 
CHF | Swiss franc | 1,5578 | 
ISK | Iceland kr贸na | 75,49 | 
NOK | Norwegian krone | 7,8205 | 
BGN | Bulgarian lev | 1,9557 | 
CYP | Cyprus pound | 0,5731 | 
CZK | Czech koruna | 29,381 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 247,25 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,8963 | 
RON | Romanian leu | 3,5323 | 
SIT | Slovenian tolar | 239,51 | 
SKK | Slovak koruna | 38,588 | 
TRY | Turkish lira | 1,6150 | 
AUD | Australian dollar | 1,5907 | 
CAD | Canadian dollar | 1,4095 | 
HKD | Hong Kong dollar | 9,3129 | 
NZD | New Zealand dollar | 1,7647 | 
SGD | Singapore dollar | 2,0321 | 
KRW | South Korean won | 1243,42 | 
ZAR | South African rand | 7,6764 | 
CNY | Chinese yuan renminbi | 9,7144 | 
HRK | Croatian kuna | 7,4515 | 
IDR | Indonesian rupiah | 12335,14 | 
MYR | Malaysian ringgit | 4,526 | 
PHP | Philippine peso | 67,576 | 
RUB | Russian rouble | 34,2850 | 
THB | Thai baht | 49,529 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
