Euro exchange rates 
Euro exchange rates [1] 
3 October 2006 
(2006/C 239/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2737 | 
JPY | Japanese yen | 149,86 | 
DKK | Danish krone | 7,4565 | 
GBP | Pound sterling | 0,67420 | 
SEK | Swedish krona | 9,3260 | 
CHF | Swiss franc | 1,5848 | 
ISK | Iceland kr贸na | 88,31 | 
NOK | Norwegian krone | 8,3735 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5767 | 
CZK | Czech koruna | 28,230 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 274,72 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6961 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,9432 | 
RON | Romanian leu | 3,5323 | 
SIT | Slovenian tolar | 239,51 | 
SKK | Slovak koruna | 37,210 | 
TRY | Turkish lira | 1,9125 | 
AUD | Australian dollar | 1,7052 | 
CAD | Canadian dollar | 1,4246 | 
HKD | Hong Kong dollar | 9,9238 | 
NZD | New Zealand dollar | 1,9285 | 
SGD | Singapore dollar | 2,0145 | 
KRW | South Korean won | 1207,40 | 
ZAR | South African rand | 9,8023 | 
CNY | Chinese yuan renminbi | 10,0675 | 
HRK | Croatian kuna | 7,3610 | 
IDR | Indonesian rupiah | 11724,41 | 
MYR | Malaysian ringgit | 4,6955 | 
PHP | Philippine peso | 63,526 | 
RUB | Russian rouble | 34,0860 | 
THB | Thai baht | 47,847 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
