Decisi%oacute%n del Comit%eacute% Mixto del EEE n%deg%%nbsp%138/2004, de 29 de octubre de 2004, por la que se modifica el Protocolo 3 del Acuerdo EEE, en relaci%oacute%n con los productos a que se refiere la letra b) del apartado 3 del art%iacute%culo 8 del Acuerdo 
Decisión del Comité Mixto del EEE 
no 138/2004 
de 29 de octubre de 2004 
por la que se modifica el Protocolo 3 del Acuerdo EEE, en relación con los productos a que se refiere la letra b) del apartado 3 del artículo 8 del Acuerdo 
EL COMITÉ MIXTO DEL EEE, 
Visto el Acuerdo sobre el Espacio Económico Europeo, adaptado por el Protocolo por el que se adapta el Acuerdo sobre el Espacio Económico Europeo, denominado en lo sucesivo "el Acuerdo", y, en particular, su artículo 98, 
Considerando lo siguiente: 
(1) En el Protocolo 3 del Acuerdo, modificado por la Decisión del Comité Mixto del EEE no 140/2001 [1], se fijan los arreglos comerciales para determinados productos agrícolas y productos agrícolas transformados entre las partes contratantes. 
(2) En el momento de la adopción de la Decisión no 140/2001, la CE y Noruega declararon conjuntamente que debe suprimirse el componente no agrícola de los derechos de aduana aplicables a los productos del cuadro I del Protocolo 3. A partir de todo ello, las conversaciones entre funcionarios de la Comisión y de Noruega concluyeron en 11 de marzo de 2004. 
(3) Como consecuencia de la adopción de la Decisión no 140/2001, se han introducido modificaciones técnicas en las nomenclaturas aduaneras. 
(4) El apartado 2 del artículo 2 del Protocolo 3 del Acuerdo especifica que el Comité Mixto del EEE puede adaptar los derechos de aduana establecidos en los anexos del cuadro I del Protocolo 3 del Acuerdo teniendo en cuenta concesiones mutuas. 
(5) Tras la celebración de las conversaciones el 11 de marzo de 2004 y las modificaciones técnicas introducidas en las nomenclaturas aduaneras, deberían modificarse los anexos I y III del cuadro I del Protocolo 3 del Acuerdo. 
DECIDE: 
Artículo 1 
El Protocolo 3 del Acuerdo se modificará como sigue: 
1) En el anexo I del cuadro I, se sustituirán los apartados 4 a 6 y 8 por los apartados 4 a 6 y 8 del anexo I de la presente Decisión. 
2) En el apéndice del anexo I del cuadro I, se sustituirá la entrada "1904 90 90" por la entrada "1904 90 80". 
3) En el anexo III del cuadro I, se sustituirán los apartados 2, 7 y 9 a 19 por los apartados 2, 7 y 9 a 11 del anexo II de la presente Decisión. 
4) En el apartado 6 del anexo III del cuadro I, se sustituirá la entrada "cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte" por la entrada "cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina, grañones y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte". 
5) En el apéndice del anexo III del cuadro I, se sustituirá la entrada "1905.3002" por la entrada "1905.3200". 
Artículo 2 
La presente Decisión entrará en vigor el 30 de octubre de 2004, siempre que se hayan transmitido al Comité Mixto del EEE todas las notificaciones previstas en el apartado 1 del artículo 103 del Acuerdo [2]. 
Será aplicable a partir del 1 de noviembre de 2004. 
Artículo 3 
La presente Decisión se publicará en la sección EEE y en el Suplemento EEE del Diario Oficial de la Unión Europea. 
Hecho en Bruselas, el 29 de octubre de 2004. 
Por el Comité Mixto del EEE 
El Presidente 
Kjartan Jóhannsson 
[1] DO L 22 de 24.1.2002, p. 34. 
[2] No se indican preceptos constitucionales. 
-------------------------------------------------- 
ANEXO I 
de la Decisión del Comité Mixto del EEE no 138/2004 
Los siguientes apartados sustituirán a los apartados 4 a 6 y 8 en el anexo I del cuadro I del Protocolo 3: 
"4) Los derechos de aduana de los productos enumerados en el cuadro siguiente son los que se especifican. 
Código NC | Derecho aplicado | Comentarios | 
05010000 | Cero | | 
05021000 | Cero | | 
05029000 | Cero | | 
05030000 | Cero | | 
05051010 | Cero | | 
05051090 | Cero | | 
05059000 | Cero | | 
05071000 | Cero | | 
05079000 | Cero | | 
05080000 | Cero | | 
05090010 | Cero | | 
05090090 | Cero | | 
05100000 | Cero | | 
13021400 | Cero | | 
13021930 | Cero | | 
13021991 | Cero | | 
ex13022010 | 18,6 % | Con un contenido de azúcar añadido superior o igual al 5 % en peso | 
ex13022090 | 10,9 % | Con un contenido de azúcar añadido superior o igual al 5 % en peso | 
14011000 | Cero | | 
14012000 | Cero | | 
14019000 | Cero | | 
14020000 | Cero | | 
14030000 | Cero | | 
14041000 | Cero | | 
14049000 | Cero | | 
15171010 | 0 % + 26,1 EUR/100 kg | | 
15179010 | 0 % + 26,1 EUR/100 kg | | 
15179093 | Cero | | 
17025000 | Cero | | 
17029010 | Cero | | 
17049010 | Cero | | 
18061015 | Cero | | 
19019091 | Cero | | 
19022010 | 8,2 % | | 
20019060 | Cero | | 
ex20060038 | 9,12 EUR/100 kg | Maíz dulce (Zea mays var. saccharata) | 
ex20060099 | 9,12 EUR/100 kg | Maíz dulce (Zea mays var. saccharata) | 
20071010 | 13,98 % + 4,07 EUR/100 kg | | 
20071091 | 13,14 % | | 
20071099 | 15,15 % | | 
20079110 | 11,64 % + 22,31 EUR/100 kg | | 
20079130 | 11,64 % + 4,07 EUR/100 kg | | 
20079190 | 18,90 % | | 
20079910 | 19,53 % | | 
20079920 | 13,98 % + 19,11 EUR/100 kg | | 
20079931 | 13,98 % + 22,31 EUR/100 kg | | 
20079933 | 13,98 % + 22,31 EUR/100 kg | | 
20079935 | 13,98 % + 22,31 EUR/100 kg | | 
20079939 | 7 % + 22,31 EUR/100 kg | | 
20079955 | 13,98 % + 4,07 EUR/100 kg | | 
ex20079957 | 13,98 % + 4,07 EUR/100 kg | Puré y pasta de castañas | 
ex20079957 | 7 % + 4,07 EUR/100 kg | Excepto puré y pasta de castañas | 
20079991 | 20,97 % | | 
20079993 | 13,14 % | | 
20079998 | 16,31 % | | 
20081110 | Cero | | 
20081192 | Cero | | 
20081196 | Cero | | 
21021010 | Cero | | 
21021090 | Cero | | 
21022011 | Cero | | 
21022019 | Cero | | 
21022090 | Cero | | 
21023000 | Cero | | 
21032000 | Cero | | 
ex21033090 | Cero | Con un contenido de azúcar añadido superior o igual al 5 % en peso | 
21039030 | Cero | | 
21039090 | Cero | | 
21041010 | Cero | | 
21041090 | Cero | | 
21042000 | Cero | | 
21061020 | 12,4 % | | 
21069010 | 24,25 EUR/100 kg | | 
21069020 | 16,8 % min 0,97 EUR/% vol/hl | | 
21069092 | Cero | | 
22021000 | Cero | | 
22029010 | Cero | | 
22030001 | Cero | | 
22030009 | Cero | | 
22030010 | Cero | | 
22051010 | Cero | | 
22051090 | Cero | | 
22059010 | Cero | | 
22059090 | Cero | | 
22072000 | 9,9 EUR/hl | | 
22084011 | Cero | | 
22084031 | Cero | | 
22084039 | Cero | | 
22084051 | Cero | | 
22084091 | Cero | | 
22084099 | Cero | | 
22085011 | Cero | | 
22085019 | Cero | | 
22085091 | Cero | | 
22085099 | Cero | | 
22086011 | Cero | | 
22086019 | Cero | | 
22086091 | Cero | | 
22086099 | Cero | | 
2208701011 | Cero | Con un contenido de azúcar añadido superior o igual al 5 % en peso | 
2208709011 | Cero | Con un contenido de azúcar añadido superior o igual al 5 % en peso | 
2208905610 | Cero | Aquavit | 
2208907710 | Cero | Aquavit | 
22090011 | 3,10 EUR/hl | | 
22090019 | 2,33 EUR/hl | | 
22090091 | 2,49 EUR/hl | | 
22090099 | 1,50 EUR/hl | | 
24021000 | 12,60 % | | 
24022010 | Cero | | 
24022090 | 27,95 % | | 
24029000 | 27,95 % | | 
24031010 | 36,35 % | | 
24031090 | 36,35 % | | 
24039100 | 8,05 % | | 
24039910 | 20,2 % | | 
24039990 | Cero | | 
33021021 | 5,8 % | | 
35011010 | Cero | | 
3501105010 | Cero | Con un contenido de agua superior al 50 % en peso | 
3501105090 | 2,9 % | Con un contenido de agua inferior o igual al 50 % en peso | 
35011090 | 8,7 % | | 
35019010 | 8,1 % | | 
35019090 | 6,2 % | | 
35051050 | 7,5 % | | 
