Lista de nombramientos efectuados por el Consejo %mdash% Meses de: enero, febrero y marzo de 2005 (%aacute%mbito social) 
Lista de nombramientos efectuados por el Consejo 
Meses de: enero, febrero y marzo de 2005 (ámbito social) 
(2005/C 88/01) 
Comité | Fin del mandato | Publicación en el DO | Persona sustituida | Dimisión/Nombramiento | Miembro/ Titular/ | Categoría | País | Persona nombrada | Adscripción | Fecha de la decisión del Consejo | 
Comité consultivo para la libre circulación de los trabajadores | 6.5.2006 | C 12 de 18.1.2005 | D. Andrzej JANKOWSKI | Dimisión | Titular | Empresarios | Polonia | D. Michal GAWRYSZCZAK | Biuro Konfrederacji Pracodawców Polskich | 17.2.2005 | 
Comité consultivo para la seguridad social de los trabajadores migrantes | 2.9.2006 | C 12 de 18.1.2005 | D. Andrzej JANKOWSKI | Dimisión | Titular | Empresarios | Polonia | D. Michal GAWRYSZCZAK | Biuro Konfederacji Pracodawców Polskich | 3.3.2005 | 
Consejo de Dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | C 64 de 18.3.2003 y C 116 de 30.4.2004 | — | Nombramiento | Miembro | Empresarios | Italia | D. Claudio GENTILI | Confindustria | 3.3.2005 | 
Consejo de Dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | C 64 de 18.3.2003 y C 116 de 30.4.2004 | D.a Astrid DAHL | Dimisión | Miembro | Empresarios | Dinamarca | D. Erik SCHMIDT | FTF-DD | 3.3.2005 | 
Consejo de Dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | C 64 de 18.3.2003 y C 116 de 30.4.2004 | D.a Regina BARTIENE | Dimisión | Miembro | Trabajadores | Lituania | D.a Tatjana BABRAUSKIENE | Lithuanian Trade Union Confederation | 3.3.2005 | 
Consejo de Dirección del Centro Europeo para el desarrollo de la formación profesional | 5.3.2006 | C 64 de 18.3.2003 y C 116 de 30.4.2004 | D. Anthony MICALLEF DEBONO | Dimisión | Miembro | Trabajadores | Malta | D. Joseph P. DEGIOVANNI | Malta Union of Teachers | 3.3.2005 | 
Consejo de Administración de la Fundación Europea para la mejora de las condiciones de vida y de trabajo | 18.10.2007 | C 317 de 22.12.2004 | D. Andrzej JANKOWSKI | Dimisión | Suplente | Empresarios | Polonia | D.a Malgorzata CZAPKA | Biuro Konfederacji Pracodawców Polskich | 17.2.2005 | 
Consejo de Administración de la Agencia Europea para la seguridad y la salud en el trabajo | 2.6.2005 | C 161 de 5.7.2002 y C 116 de 30.4.2004 | D.a Nadine WELTER | Dimisión | Suplente | Gobierno | Luxemburgo | D. Robert HUBERTY | Inspection du Travail et des Mines | 31.1.2005 | 
Consejo de Administración de la Agencia Europea para la seguridad y la salud en el trabajo | 2.6.2005 | C 161 de 5.7.2002 y C 116 de 30.4.2004 | D.a Nataša BELOPAVLOVIČ | Dimisión | Titular | Gobierno | Eslovenia | D.a Tatjana PETRIČEK | Ministry of Labour, Family and Social Affairs | 31.1.2005 | 
Consejo de Administración de la Agencia Europea para la seguridad y la salud en el trabajo | 2.6.2005 | C 161 de 5.7.2002 y C 116 de 30.4.2004 | Sr. H.C.V. SCHRAMA | Dimisión | Titular | Gobierno | Países Bajos | Sr. P. FERINGA | Ministerie van Sociale Zaken en Werkgelegenheid | 17.2.2005 | 
-------------------------------------------------- 
