Relación de las decisiones comunitarias sobre autorizaciones de comercialización de medicamentos del 1.1.2006 al 31.1.2006 [Decisiones tomadas en virtud del artículo 34 de la Directiva 2001/83/CE o del artículo 38 de la Directiva 2001/82/CE] 
Relación de las decisiones comunitarias sobre autorizaciones de comercialización de medicamentos del 1.1.2006 al 31.1.2006 
[Decisiones tomadas en virtud del artículo 34 de la Directiva 2001/83/CE [1] o del artículo 38 de la Directiva 2001/82/CE [2]] 
(2006/C 46/04) 
— Concesión, mantenimiento o modificación de una autorización de comercialización nacional 
Fecha de la decisión | Nombre del medicamento | Titulares de la autorización de comercialización | Estado miembro en cuestión | Fecha de notificación | 
9.1.2006 | Actilyse | Véase anexo I | Véase anexo I | 10.1.2006 | 
24.1.2006 | Ionsys | Janssen-Cilag International NV, Turnhoutseweg 30, B-2340 Beerse | Los destinatarios de la presente Decisión serán los Estados miembros | 25.1.2006 | 
24.1.2006 | Exubera | Aventis/Pfizer EEIG, Ramsgate Road, Sandwich, Kent CT13 9NJ, United Kingdom | Los destinatarios de la presente Decisión serán los Estados miembros | 25.1.2006 | 
31.1.2006 | Macugen | Pfizer Limited, Sandwich, Kent CT13 9NJ, United Kingdom | Los destinatarios de la presente Decisión serán los Estados miembros | 1.2.2006 | 
[1] DO L 311 de 28.11.2001, p .67. 
[2] DO L 311 de 28.11.2001, p. 1. 
-------------------------------------------------- 
ANEXO 
RELACIÓN DE LOS NOMBRES DEL MEDICAMENTO, FORMA FARMACÉUTICA, DOSIS, VÍA DE ADMINISTRACIÓN, CONTENIDO Y TITULARES DE LA AUTORIZACIÓN DE COMERCIALIZACIÓN EN LOS ESTADOS MIEMBROS 
Estado miembro | Titular de la autorización de comercialización | Marca de fantasía | Dosis | Formafarmacéutica | Vía de administración | Contenido (Concentración) | 
Austria | Boehringer Ingelheim Austria GmbH | Actilyse | 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Bélgica | n.v. Boehringer Ingelheim s.a. | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Chipre | Cyprus Pharm. Organization Ltd. | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
República Checa | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Dinamarca | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Estonia | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Finlandia | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Francia | Boehringer Ingelheim, France | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Alemania | Boehringer Ingelheim Pharma KG | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Grecia | Boehringer Ingelheim Hellas AE | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Hungría | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Irlanda | Boehringer Ingelheim Ltd, Royaume-Uni | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Italia | Boehringer Ingelheim Italia spa | Actilyse | 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Letonia | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Lituania | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Luxemburgo | n.v. Boehringer Ingelheim s.a., Belgique | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Malta | Boehringer Ingelheim Ltd., Royaume-Uni | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Países Bajos | Boehringer Ingelheim b.v. | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Polonia | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
Portugal | Boehringer Ingelheim, Lda | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Eslovaquia | Boehringer Ingelheim International GmbH | Actilyse | 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Eslovenia | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
España | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Suecia | Boehringer Ingelheim International GmbH | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Reino Unido | Boehringer Ingelheim Ltd. | Actilyse | 10, 20, 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Islandia | Boehringer Ingelheim International GmbH | Actilyse | 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml o 2 mg/ml | 
Noruega | Boehringer Ingelheim International GmbH | Actilyse | 10, 20 50 mg | Polvo y disolvente para solución inyectable y para perfusión | Vía intravenosa | 1 mg/ml | 
-------------------------------------------------- 
