Tipo de cambio del euro 
Tipo de cambio del euro [1] 
16 de enero de 2006 
(2006/C 11/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,2112 | 
JPY | yen japonés | 139,23 | 
DKK | corona danesa | 7,4613 | 
GBP | libra esterlina | 0,68545 | 
SEK | corona sueca | 9,3293 | 
CHF | franco suizo | 1,5497 | 
ISK | corona islandesa | 74,14 | 
NOK | corona noruega | 8,0490 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5737 | 
CZK | corona checa | 28,796 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 250,32 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6959 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,8093 | 
RON | leu rumano | 3,6352 | 
SIT | tólar esloveno | 239,51 | 
SKK | corona eslovaca | 37,477 | 
TRY | lira turca | 1,6148 | 
AUD | dólar australiano | 1,6066 | 
CAD | dólar canadiense | 1,4055 | 
HKD | dólar de Hong Kong | 9,3912 | 
NZD | dólar neozelandés | 1,7340 | 
SGD | dólar de Singapur | 1,9792 | 
KRW | won de Corea del Sur | 1189,94 | 
ZAR | rand sudafricano | 7,2575 | 
CNY | yuan renminbi | 9,7711 | 
HRK | kuna croata | 7,3798 | 
IDR | rupia indonesia | 11476,12 | 
MYR | ringgit malayo | 4,536 | 
PHP | peso filipino | 63,673 | 
RUB | rublo ruso | 34,2590 | 
THB | baht tailandés | 48,054 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
