Relevé des nominations effectuées par le Conseil (Mois d'octobre, novembre et décembre 2005) (domaine social) 
Relevé des nominations effectuées par le Conseil 
(Mois d'octobre, novembre et décembre 2005) (domaine social) 
(2006/C 35/01) 
Comité | Fin du mandat | Publication au JO | Personne remplacée | Démission/Nomination | Membre/Titulaire/Suppléant | Catégorie | Pays | Personne nommée | Appartenance | Date de la décision du Conseil | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Mielikki TENHUNEN | Démission | Titulaire | Gouvernement | Finlande | Mr Olli SORAINEN | Työministeriö | 11.10.2005 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Mervi HUUSKONEN | Démission | Suppléant | Travailleurs | Finlande | Mr Ralf SUND | STTK | 11.10.2005 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Celien VANMOERKERKE | Démission | Titulaire | Travailleurs | Belgique | M. Jean-François MACOURS | FGTB | 7.11.2005 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Mirkka MYKKÄNEN | Démission | Titulaire | Gouvernement | Finlande | Ms Sinikka HYYPPÄ | Työministeriö | 8.12.2005 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | Mme Katja LEPPÄNEN | Démission | Titulaire | Employeurs | Finlande | Ms Anu SAJAVAARA | Elinkeinoelämän Keskusliitto | 8.12.2005 | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Thord PETTERSSON | Démission | Titulaire | Travailleurs | Suède | Ms Monika ARVIDSSON | Landsorganisationen i Sverige | 8.12.2005 | 
Comité consultatif pour la sécurité sociale des travailleurs migrants | 22.9.2006 | C 12 du 18.1.2005 | Mme Eivy HÄGGSTRÖM | Démission | Titulaire | Gouvernement | Suède | Ms Johanna DUNÉR | Näringsdepartementet | 8.12.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | M. Alexander HEIDER | Démission | Titulaire | Travailleurs | Autriche | Frau Renate CZESKLEBA | Österreichischer Gewerkschaftsbund | 28.11.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | Mme Susanne MAURER | Démission | Suppléant | Travailleurs | Autrriche | Frau Bernardette KENDLBACHER | Österreichischer Gewerkschaftsbund | 28.11.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | Mme Renate CZESKLEBA | Démission | Suppléant | Travailleurs | Autriche | Frau Julia LISCHKA | Bundesarbeitskammer | 28.11.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | M. Tapio KUIKKO | Démission | Titulaire | Employeurs | Finlande | Mr Jyrki HOLLMÉN | Elinkeinoelämän keskusliitto | 28.11.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | Mme Anette RÜCKERT | Démission | Suppléant | Gouvernement | Allemagne | Mr. Ulrich RIESE | Bundesanstalt für Arbeittsschutz und Arbeitsmedizin | 28.11.2005 | 
Comité consultatif pour la sécurité et la santé sur le lieu du travail | 31.12.2006 | C 321 du 31.12.2003, C 116 du 30.4.2004, C 122 du 30.4.2004 | Mme Véronique CAZALS | Démission | Titulaire | Employeurs | France | Mlle Nathalie BUET | MEDEF | 8.12.2005 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | Mme Anette RÜCKERT | Démission | Titulaire | Gouvernement | Allemagne | Professor Ulrich RIESE | Bundesanstalt für Arbeittsschutz und Arbeitsmedizin | 28.11.2005 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | M. Marc BOISNEL | Démission | Titulaire | Gouvernement | France | M. Robert PICCOLI | Ministère de l'emploi, de la cohésion sociale et du logement | 28.11.2005 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | Mme Gwyneth DEAKINS | Démission | Titulaire | Gouvernement | Royaume-Uni | Ms Elizabeth HODKINSON | Health and Safety Executive | 28.11.2005 | 
Conseil de direction de l'Agence européenne pour la sécurité et la santé au travail | — | L 184 du 15.7.2005 C 161 du 5.7.2002, C 116 du 30.4.2004 | Mme Véronique CAZALS | Démission | Suppléant | Employeurs | France | Mlle Nathalie BUET | MEDEF | 8.12.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003, C 116 du 30.4.2004 | M. Jochen LAUX | Démission | Membre | Travailleurs | Allemagne | M. Hans-Detlev KÜLLER | DGB | 11.10.2205 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003, C 116 du 30.4.2004 | Mme Aviana BULGARELLI | Démission | Membre | Gouvernement | Italie | M. Antonio MONTANINO | Ministero del Lavoro e delle Politiche Sociali | 7.11.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003, C 116 du 30.4.2004 | — | Nomination | Membre | Travailleurs | Belgique | M. Justin DAERDEN | CSC | 7.11.2005 | 
Conseil de direction de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | Mme Inger OHLSSON | Démission | Titulaire | Gouvernement | Suède | Mikael SJÖBERG | Arbetslivsinstitutet | 8.12.2005 | 
Conseil de direction de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | Mme Gunilla MALMBORG | Démission | Supplèant | Gouvernement | Suède | Annika MANSNÉRUS | Socialdepartementet | 8.12.2005 | 
-------------------------------------------------- 
