Relev des nominations effectues par le Conseil (mois de janvier, fvrier et mars 2005) (domaine social) 
Relevé des nominations effectuées par le Conseil 
(mois de janvier, février et mars 2005) (domaine social) 
(2005/C 88/01) 
Comité | Fin du mandat | Publication au JO | Personne remplacée | Démission/Nomination | Membre/Titulaire/Suppléant | Catégorie | Pays | Personne nommée | Appartenance | Date de la décision du Conseil | 
Comité consultatif pour la libre circulation des travailleurs | 6.5.2006 | C 12 du 18.1.2005 | M. Andrzej JANKOWSKI | Démission | Titulaire | Employeurs | Pologne | M. Michal GAWRYSZCZAK | Biuro Konfrederacji Pracodawców Polskich | 17.2.2005 | 
Comité consultatif pour la sécurité sociale des travailleurs migrants | 2.9.2006 | C 12 du 18.1.2005 | M. Andrzej JANKOWSKI | Démission | Titulaire | Employeurs | Pologne | M. Michal GAWRYSZCZAK | Biuro Konfederacji Pracodawców Polskich | 3.3.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003 et C 116 du 30.4.2004 | — | Nomination | Membre | Employeurs | Italie | M. Claudio GENTILI | Confindustria | 3.3.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003 et C 116 du 30.4.2004 | Mme Astrid DAHL | Démission | Membre | Employeurs | Danemark | M. Erik SCHMIDT | FTF-DD | 3.3.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003 et C 116 du 30.4.2004 | Mme Regina BARTIENE | Démission | Membre | Travailleurs | Lituanie | Mme Tatjana BABRAUSKIENE | Lithuanian Trade Union Confederation | 3.3.2005 | 
Conseil de direction du Centre européen pour le développement de la formation professionnelle | 5.3.2006 | C 64 du 18.3.2003 et C 116 du 30.4.2004 | M. Anthony MICALLEF DEBONO | Démission | Membre | Travailleurs | Malte | M. Joseph P. DEGIOVANNI | Malta Union of Teachers | 3.3.2005 | 
Conseil d'administration de la Fondation européenne pour l'amélioration des conditions de vie et de travail | 18.10.2007 | C 317 du 22.12.2004 | M. Andrzej JANKOWSKI | Démission | Suppléant | Employeurs | Pologne | Mme Malgorzata CZAPKA | Biuro Konfederacji Pracodawców Polskich | 17.2.2005 | 
Conseil d'administration de l'Agence européenne pour la sécurité et la santé au travail | 2.6.2005 | C 161 du 5.7.2002 et C 116 du 30.4.2004 | Mme Nadine WELTER | Démission | Suppléant | Gouvernement | Luxembourg | M. Robert HUBERTY | Inspection du Travail et des Mines | 31.1.2005 | 
Conseil d'administration de l'Agence européenne pour la sécurité et la santé au travail | 2.6.2005 | C 161 du 5.7.2002 et C 116 du 30.4.2004 | Mme Nataša BELOPAVLOVIČ | Démission | Titulaire | Gouvernement | Slovénie | Mme Tatjana PETRIČEK | Ministry of Labour, Family and Social Affairs | 31.1.2005 | 
Conseil d'administration de l'Agence européenne pour la sécurité et la santé au travail | 2.6.2005 | C 161 du 5.7.2002 et C 116 du 30.4.2004 | M. H.C.V. SCHRAMA | Démission | Titulaire | Gouvernement | Pays-Bas | M. R. FERINGA | Ministerie van Sociale Zaken en Werkgelegenheid | 17.2.2005 | 
-------------------------------------------------- 
