Taux de change de l'euro 
Taux de change de l'euro [1] 
18 janvier 2006 
(2006/C 14/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2125 | 
JPY | yen japonais | 139,51 | 
DKK | couronne danoise | 7,4609 | 
GBP | livre sterling | 0,68640 | 
SEK | couronne suédoise | 9,3297 | 
CHF | franc suisse | 1,5468 | 
ISK | couronne islandaise | 74,61 | 
NOK | couronne norvégienne | 8,1240 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5738 | 
CZK | couronne tchèque | 28,862 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 251,79 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,8552 | 
RON | leu roumain | 3,6480 | 
SIT | tolar slovène | 239,48 | 
SKK | couronne slovaque | 37,620 | 
TRY | lire turque | 1,6210 | 
AUD | dollar australien | 1,6181 | 
CAD | dollar canadien | 1,4122 | 
HKD | dollar de Hong Kong | 9,4018 | 
NZD | dollar néo-zélandais | 1,7620 | 
SGD | dollar de Singapour | 1,9749 | 
KRW | won sud-coréen | 1202,98 | 
ZAR | rand sud-africain | 7,3553 | 
CNY | yuan ren-min-bi chinois | 9,7854 | 
HRK | kuna croate | 7,3815 | 
IDR | rupiah indonésien | 11522,99 | 
MYR | ringgit malais | 4,555 | 
PHP | peso philippin | 63,838 | 
RUB | rouble russe | 34,2820 | 
THB | baht thaïlandais | 47,869 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
